,ref1,ref2,length,similarity
43,Gittin 26b:7-8,Sanhedrin 18b:14,103,0.5843621399176955
44,Bava Batra 104b:8,Bava Batra 94b:12,117,0.5738396624472574
45,Beitzah 11a:20,Bekhorot 37a:3,124,0.5475285171102662
46,Yevamot 87b:15,Yevamot 95b:7,118,0.5275590551181102
47,Gittin 29b:15,Nedarim 27a:9,97,0.691358024691358
48,Yevamot 108a:16,Yevamot 35b:1,137,0.37362637362637363
49,Berakhot 11a:4-7,Berakhot 16a:20-23,313,0.7721518987341772
50,Menachot 76a:2,Niddah 63a:11,88,0.7282051282051282
51,Menachot 43b:1-2,Sanhedrin 16b:14,197,0.556390977443609
52,Ketubot 104a:10,Ketubot 55a:2,91,0.49746192893401014
53,Pesachim 16a:16,Pesachim 20a:4,94,0.82
54,Ketubot 100b:6,Menachot 74a:8,57,0.8695652173913043
55,Meilah 3b:13-14,Zevachim 43a:5,94,0.5019607843137255
56,Rosh Hashanah 30a:5,Shevuot 34a:1,106,0.4584717607973422
57,Eruvin 16b:20,Eruvin 48a:8-9,127,0.8808664259927798
58,Chagigah 2a:7-8,Gittin 41a:12,167,0.4931506849315068
59,Gittin 19b:12,Gittin 4b:8,63,0.5025641025641026
60,Niddah 43a:6-7,Shabbat 41a:2-3,213,0.1254125412541254
61,Shevuot 36b:12,Shevuot 38a:20,148,0.3438395415472779
62,Kiddushin 49b:6,Sanhedrin 24a:14,255,0.027184466019417475
63,Berakhot 31b:26-27,Taanit 25a:17,207,0.12009237875288684
64,Chullin 34b:3,Niddah 7a:8,94,0.5118483412322274
65,Bava Kamma 65b:13,Bava Kamma 68a:1,105,0.4744525547445255
66,Bava Kamma 69b:10,Temurah 29b:2,76,0.6767676767676768
67,Gittin 76b:9,Ketubot 2b:10,100,0.624561403508772
68,Shevuot 29a:10,Shevuot 39a:7,214,0.3297180043383948
69,Bekhorot 21b:1,Temurah 19b:15,167,0.9760479041916168
70,Horayot 11b:13,Keritot 5b:8,211,0.24651162790697675
71,Chullin 69b:5,Kiddushin 7a:13,107,0.49110320284697506
72,Pesachim 22a:7,Yoma 58b:3,117,0.15343915343915343
73,Gittin 43b:8-9,Kiddushin 6b:5-6,214,0.6304801670146137
74,Nazir 23b:7,Yevamot 103a:17,80,0.5461254612546126
75,Gittin 66b:13-14,Gittin 88a:10-11,97,0.524390243902439
76,Arakhin 26b:9-10,Bava Metzia 115a:14,184,0.3374083129584352
77,Menachot 12a:2,Menachot 13b:15,180,0.17955112219451372
78,Bava Batra 4b:7,Bava Kamma 20b:5,106,0.6928571428571428
79,Ketubot 81a:4-6,Yevamot 38b:13-15,245,0.5176908752327747
80,Pesachim 5a:20,Pesachim 71a:2,144,0.3475783475783476
81,Bava Kamma 25b:6,Shabbat 64a:7,122,0.768
82,Eruvin 29b:9,Pesachim 32a:4,229,0.24050632911392406
83,Yoma 40b:1,Yoma 65a:10,96,0.5818181818181818
84,Bava Batra 77b:1,Shevuot 38b:18,175,0.480225988700565
85,Berakhot 7b:18,Megillah 6b:5,179,0.7860696517412935
86,Menachot 61b:2-3,Sukkah 47b:6,139,0.9036544850498339
87,Arakhin 14b:16,Pesachim 26a:11,91,0.5907172995780591
88,Chullin 58a:11,Yevamot 78a:16,133,0.2492753623188406
89,Shevuot 26a:7-8,Sukkah 50b:7,162,0.7017543859649122
90,Bava Batra 107a:7,Sotah 31b:4,97,0.4563106796116505
91,Bava Kamma 102a:3-4,Megillah 7b:13-14,93,0.5272727272727272
92,Menachot 4a:17,Zevachim 5b:11-12,62,0.5294117647058824
93,Beitzah 39a:1,Yevamot 82a:9,85,0.9595375722543352
94,Shabbat 55a:12,Yoma 69b:8,49,0.3883495145631068
95,Berakhot 24a:9,Yoma 11a:9,168,0.288135593220339
96,Bava Kamma 117b:20,Bava Metzia 56b:2,154,0.014634146341463415
97,Megillah 17b:9,Rosh Hashanah 32a:6,159,1.0
98,Sanhedrin 40a:4,Sanhedrin 41b:6,189,0.5714285714285714
99,Bava Metzia 92a:17,Shabbat 13a:10,138,0.4565916398713826
100,Makkot 4b:1,Yevamot 22b:12,92,0.54
101,Bekhorot 10b:3-4,Pesachim 37b:6,110,0.5243445692883895
102,Bava Metzia 20b:9-11,Bava Metzia 25a:13,14,0.23140495867768596
103,Bava Batra 142b:7,Ketubot 7b:6,108,0.7535211267605634
104,Bekhorot 49a:7-8,Sanhedrin 45b:12,96,0.6086956521739131
105,Chullin 128a:13-14,Chullin 36a:5-6,155,0.008888888888888889
106,Pesachim 68b:11,Yoma 81b:4,235,0.21818181818181817
107,Bava Kamma 88b:1,Ketubot 78b:8,142,0.509915014164306
108,Gittin 4b:8,Menachot 74a:8,57,0.5079365079365079
109,Bava Kamma 60a:3,Sukkah 50b:1,81,0.10982658959537572
110,Eruvin 42a:5,Shabbat 39a:3,153,0.4380952380952381
111,Shevuot 10a:5,Shevuot 7b:5,102,0.46808510638297873
112,Nazir 5a:8-9,Yevamot 17b:5,149,0.9607843137254902
113,Berakhot 31a:11,Shabbat 30b:5,144,0.39655172413793105
114,Bava Batra 14a:10,Makkot 9b:7,88,0.5065502183406113
115,Pesachim 11b:7,Pesachim 21a:9,139,0.5528846153846154
116,Eruvin 6a:12-6b:1,Shabbat 6a:16-6b:1,193,0.10526315789473684
117,Keritot 15a:6,Keritot 17a:20,185,0.5368421052631579
118,Beitzah 13b:3,Bekhorot 58b:11-59a:1,201,0.44833625218914186
119,Bekhorot 10a:7,Niddah 50b:2,119,0.597864768683274
120,Bava Metzia 55b:5,Gittin 4b:18,121,0.36228287841191065
121,Shabbat 146b:4,Yoma 46b:5,131,0.3935483870967742
122,Eruvin 22b:3,Eruvin 78b:12,127,0.5755395683453237
123,Bekhorot 28b:8,Sanhedrin 33a:2,122,0.7401574803149606
124,Chagigah 10b:7,Yevamot 68a:13,52,0.624113475177305
125,Arakhin 3a:11,Keritot 8b:11,75,0.6122448979591837
126,Temurah 23b:13,Yoma 55b:2,129,0.8137931034482758
127,Bava Kamma 13a:23,Bava Kamma 53a:16,119,0.23469387755102042
128,Shevuot 2a:5,Shevuot 4a:10,65,0.65
129,Bava Batra 136a:15-136b:2,Bava Kamma 88b:5-6,67,0.4935064935064935
130,Yevamot 37b:6,Yoma 18b:2,110,0.6590038314176245
131,Yevamot 39a:17,Yevamot 52a:12,66,0.5102880658436214
132,Pesachim 12b:17-18,Sanhedrin 42a:7-8,223,0.5064935064935064
133,Gittin 36b:6,Megillah 2a:6,170,0.2736318407960199
134,Chullin 141a:14-15,Sukkah 53b:1,239,0.05565217391304348
135,Eruvin 45a:27-45b:1,Nedarim 45b:1,106,0.3474576271186441
136,Keritot 22b:24,Keritot 26b:9,113,0.7583333333333333
137,Bava Kamma 37b:8,Niddah 64a:1,120,0.9206349206349206
138,Berakhot 8b:9-10,Pesachim 112b:4-5,125,0.507399577167019
139,Kiddushin 13a:12,Kiddushin 6a:14,200,0.13793103448275862
140,Berakhot 63b:14,Gittin 57b:22,162,0.005050505050505051
141,Arakhin 33a:5-7,Megillah 14b:7-8,432,0.18577981651376146
142,Sotah 29b:5-6,Zevachim 11a:6,147,0.5631067961165048
143,Arakhin 21b:13,Ketubot 100b:5,67,0.8571428571428571
144,Berakhot 21b:9,Yevamot 4a:4,106,0.7218045112781954
145,Zevachim 118b:9,Zevachim 53b:9,146,0.6839080459770115
146,Bava Metzia 53b:3-4,Makkot 20a:6-7,81,0.02631578947368421
147,Pesachim 26b:6-7,Shabbat 29b:11,199,0.4928909952606635
148,Bava Batra 84b:5,Ketubot 103a:23,89,0.7920792079207921
149,Eruvin 39b:10,Pesachim 47a:1,127,0.0199501246882793
150,Beitzah 28b:12-14,Niddah 52a:21-23,188,0.9762532981530343
151,Menachot 59b:20,Yoma 64b:4,141,0.402555910543131
152,Arakhin 3b:4-5,Rosh Hashanah 29a:11-12,85,0.4133738601823708
153,Temurah 13a:11-12,Yoma 63b:1,201,0.5921052631578947
154,Menachot 59b:21,Pesachim 65a:8,89,0.6376811594202898
155,Shabbat 130a:15-17,Shabbat 49a:6-8,576,0.5397096498719044
156,Avodah Zarah 10b:13,Taanit 3b:2,241,0.3481624758220503
157,Bava Metzia 71b:10,Kiddushin 41b:10,96,0.5102040816326531
158,Arakhin 27b:7-8,Bava Batra 94a:12-94b:1,31,0.11019283746556474
159,Bava Metzia 19a:6,Ketubot 51a:14-51b:1,112,0.5
160,Makkot 23a:19-20,Megillah 7b:19,175,0.5739130434782609
161,Shabbat 141b:24,Shabbat 93b:7,74,0.013513513513513514
162,Bava Batra 129a:8,Kiddushin 18a:10,81,0.6197183098591549
163,Yoma 80a:16-80b:1,Zevachim 38b:6-7,125,0.8446215139442231
164,Shabbat 130a:8,Yevamot 92a:6,111,0.4057971014492754
165,Shabbat 75b:6,Shabbat 97b:7,187,0.5372340425531915
166,Eruvin 96a:8,Makkot 13b:5,133,0.6827794561933535
167,Moed Katan 22b:15,Moed Katan 26a:4,126,0.6
168,Bava Batra 2b:9,Bava Metzia 107a:11-12,102,0.6875
169,Eruvin 35b:4,Gittin 16a:6,151,0.4831932773109244
170,Menachot 91b:15,Yoma 2b:6,85,0.3900414937759336
171,Bekhorot 34b:5-6,Menachot 68a:6-7,168,0.6686390532544378
172,Menachot 55b:10-11,Zevachim 48a:23-48b:1,222,0.03968253968253968
173,Shabbat 130a:3,Yevamot 14a:9,113,0.5517241379310345
174,Eruvin 79b:14-15,Shabbat 129a:10,146,0.052132701421800945
175,Bava Batra 138b:5,Bava Batra 63b:4,90,0.5344129554655871
176,Avodah Zarah 38a:2,Avodah Zarah 59a:9,162,0.40431266846361186
177,Nazir 29b:10,Pesachim 3b:6,238,0.023391812865497075
178,Ketubot 27a:8,Shabbat 41a:3,144,0.5217391304347826
179,Bava Kamma 71a:16-17,Gittin 53b:8-9,112,0.11655011655011654
180,Chullin 113b:3,Zevachim 57a:3,78,0.7065217391304348
181,Bava Kamma 7b:15-16,Shevuot 33a:9-10,48,0.47674418604651164
182,Yevamot 22a:4,Yevamot 3a:6,121,0.5333333333333333
183,Bava Kamma 98b:20-21,Gittin 42a:7-8,133,0.20994475138121546
184,Chullin 124a:7-9,Niddah 26b:1-3,201,0.6635294117647059
185,Bava Kamma 103b:8,Yevamot 118b:5,215,0.4875239923224568
186,Gittin 27b:12-28a:1,Yevamot 120a:13,67,0.9230769230769231
187,Avodah Zarah 54b:7,Pesachim 45a:8,105,0.6812227074235808
188,Avodah Zarah 6a:10,Avodah Zarah 8a:6,106,0.7211895910780669
189,Berakhot 30b:2,Yevamot 40a:24,108,0.7709090909090909
190,Eruvin 72a:4,Taanit 26b:13,92,0.7195767195767195
191,Chullin 5a:5,Sotah 46b:21,158,0.78419452887538
192,Menachot 60b:3-4,Shabbat 28a:6,182,0.011928429423459244
193,Kiddushin 51b:16,Yevamot 23b:3,155,0.6840579710144927
194,Sanhedrin 64a:9,Yoma 69b:12,148,0.1111111111111111
195,Zevachim 2b:13-14,Zevachim 46b:10-11,204,0.5514018691588785
196,Yoma 63b:1,Zevachim 115a:9,92,0.49146757679180886
197,Arakhin 17b:11-14,Keritot 9b:14-15,319,0.036827195467422094
198,Kiddushin 76b:10,Yevamot 45b:9,162,0.442159383033419
199,Ketubot 59a:7,Nedarim 85a:6-7,162,0.49577464788732395
200,Pesachim 34a:9-34b:1,Pesachim 73b:3,79,0.2819548872180451
201,Menachot 12b:16,Menachot 17a:16,95,0.9633507853403142
202,Berakhot 47a:14,Eruvin 17b:8,182,0.6453333333333333
203,Avodah Zarah 52a:20,Shabbat 16a:2,120,0.019417475728155338
204,Bava Kamma 31b:4,Menachot 54b:5,78,0.42528735632183906
205,Bava Kamma 86b:17-18,Makkot 9b:5-6,81,0.551440329218107
206,Avodah Zarah 2b:3,Rosh Hashanah 16a:12,164,0.8586666666666667
207,Taanit 19a:9,Taanit 23a:9,131,0.46540880503144655
208,Bava Kamma 115b:16-17,Nedarim 9b:2,53,0.416
209,Ketubot 37b:6,Sotah 47b:2,120,0.6764705882352942
210,Chullin 5b:10,Yevamot 99b:11,93,0.6158940397350994
211,Menachot 79b:13,Pesachim 97a:7,185,0.013856812933025405
212,Beitzah 36a:10-11,Kiddushin 26b:7,96,0.5882352941176471
213,Eruvin 54a:8,Menachot 33b:3,195,0.3341645885286783
214,Avodah Zarah 30b:5,Shabbat 77b:11,198,0.3980815347721823
215,Sanhedrin 22b:19,Zevachim 22b:3,128,0.5437352245862884
216,Bava Kamma 77b:13-15,Chullin 78a:19-78b:2,75,0.7909604519774012
217,Menachot 17a:17-18,Zevachim 29b:15-16,317,0.19601837672281777
218,Bava Batra 172b:2-3,Gittin 27a:6,60,0.6863905325443787
219,Beitzah 19b:4,Pesachim 13b:4-5,157,0.7065527065527065
220,Kiddushin 34b:12,Shabbat 62a:13,116,0.5349794238683128
221,Berakhot 61b:14,Sukkah 44a:1,170,0.33980582524271846
222,Bava Kamma 29b:8,Pesachim 6b:16,171,0.7130434782608696
223,Horayot 3a:10,Horayot 5a:18,73,0.6951871657754011
224,Eruvin 42b:14-15,Eruvin 44b:15,92,0.5836298932384342
225,Horayot 9a:5,Shevuot 8b:9,131,0.26627218934911245
226,Pesachim 9a:6-7,Yevamot 38b:9,122,0.24947145877378435
227,Yevamot 74a:4,Zevachim 97a:19-20,134,0.10119047619047619
228,Ketubot 70b:1,Ketubot 83a:7,93,0.5014245014245015
229,Rosh Hashanah 15a:3,Sukkah 7a:6,92,0.3700787401574803
230,Nazir 4a:6-7,Shevuot 24a:3,98,0.7579908675799086
231,Bava Metzia 18b:10-11,Gittin 27b:3-4,86,0.6515151515151515
232,Niddah 19b:9,Niddah 56a:3,120,0.6141078838174274
233,Meilah 6b:4-5,Zevachim 111b:17,145,0.4469914040114613
234,Ketubot 69b:6,Yevamot 59a:9,109,0.29411764705882354
235,Bekhorot 9b:21,Temurah 33b:15-16,127,0.04242424242424243
236,Eruvin 89b:5,Nedarim 41a:4,115,0.5367647058823529
237,Kiddushin 21b:8-9,Menachot 28b:8-9,232,0.5018181818181818
238,Eruvin 40a:15-16,Menachot 106b:11-12,172,0.6470588235294118
239,Shabbat 141b:5,Shabbat 41b:3,79,0.48148148148148145
240,Rosh Hashanah 21a:8,Sanhedrin 13b:2,152,0.06128133704735376
241,Taanit 15a:7,Taanit 16b:3,178,0.5571030640668524
242,Menachot 6b:1,Zevachim 25a:4,125,0.7050359712230215
243,Gittin 59b:9,Moed Katan 28b:28,103,0.7763713080168776
244,Avodah Zarah 34b:10,Chullin 39a:2,113,0.7219917012448133
245,Nedarim 40a:10,Yevamot 116b:12,178,0.029339853300733496
246,Shabbat 125b:6,Sukkah 6b:12,52,0.5298013245033113
247,Bava Kamma 88a:10,Zevachim 5a:15,142,0.6025641025641025
248,Chullin 14b:6-7,Shabbat 124b:9-11,260,0.12213740458015267
249,Bava Batra 10a:13,Berakhot 10a:21,337,0.17038007863695936
250,Chullin 117b:9,Chullin 122a:4,60,0.7549668874172185
251,Bava Kamma 62b:1-3,Shabbat 21b:11-12,35,0.13053613053613053
252,Menachot 20a:1,Nedarim 8a:9-8b:1,114,0.39114391143911437
253,Chagigah 7b:5,Pesachim 71a:1,78,0.5291479820627802
254,Bava Kamma 90b:8-9,Rosh Hashanah 25b:19-26a:1,84,0.18834080717488788
255,Sotah 23a:7-9,Yevamot 100a:10-13,580,0.0034158838599487617
256,Avodah Zarah 5a:4-5,Sotah 3b:13-14,206,0.6490566037735849
257,Sotah 8b:3,Yoma 24a:3-4,154,0.5032258064516129
258,Pesachim 45a:1,Zevachim 57a:3,54,0.5625
259,Megillah 8b:6,Sanhedrin 106b:17,75,0.5316455696202531
260,Chagigah 2a:6,Sanhedrin 4b:15,173,0.7651715039577837
261,Yevamot 109a:18,Yevamot 39b:16-17,170,0.021621621621621623
262,Eruvin 101a:11,Eruvin 12a:23,147,0.429042904290429
263,Gittin 29b:16,Gittin 76b:8,90,0.9319371727748691
264,Keritot 28b:6-7,Pesachim 57b:2,174,0.07407407407407407
265,Bava Kamma 86b:19,Sanhedrin 86a:13,113,0.628158844765343
266,Bava Batra 66b:5,Bava Kamma 78b:23,114,0.488135593220339
267,Eruvin 27b:14,Sukkah 50b:7,162,0.6101694915254238
268,Bava Metzia 34a:6,Bava Metzia 37a:3,119,0.7368421052631579
269,Chullin 83a:2,Sanhedrin 63a:27-28,101,0.5945945945945946
270,Niddah 72b:13-14,Sanhedrin 87a:13-15,151,0.7575757575757576
271,Megillah 26b:13,Menachot 29a:9,221,0.02696629213483146
272,Arakhin 16b:8,Pesachim 50b:5,207,0.15384615384615385
273,Pesachim 75a:14,Sanhedrin 94a:16,127,0.15015015015015015
274,Eruvin 99b:21,Sukkah 24b:14,106,0.5948275862068966
275,Menachot 18b:2,Niddah 66b:4,82,0.6909090909090909
276,Berakhot 50a:20,Zevachim 11b:12,87,0.3615819209039548
277,Nazir 36b:4,Pesachim 9b:14,166,0.7405247813411079
278,Arakhin 23a:13,Ketubot 95b:6,80,0.9467455621301775
279,Pesachim 62a:13,Pesachim 78b:4,77,0.3020408163265306
280,Bekhorot 47b:11,Keritot 7b:11,144,0.7167235494880546
281,Berakhot 57a:8,Menachot 53b:8,169,0.3312883435582822
282,Chullin 122b:6,Zevachim 36b:6,110,0.6561264822134387
283,Bava Batra 77b:1,Bava Metzia 100b:4,110,0.41522491349480967
284,Rosh Hashanah 27b:2,Rosh Hashanah 29a:2,169,0.7953216374269005
285,Bava Kamma 83b:17,Ketubot 37a:8,125,0.5047923322683706
286,Gittin 89a:4,Ketubot 72b:2,193,0.3460559796437659
287,Yevamot 110b:9,Yevamot 112b:9,262,0.018281535648994516
288,Eruvin 23a:9,Eruvin 69b:10,87,0.6141078838174274
289,Bava Metzia 91a:1,Sanhedrin 63a:27-28,115,0.4915254237288136
290,Bava Kamma 38b:11-12,Yevamot 16a:17-18,71,0.5555555555555556
291,Shevuot 32b:13-14,Shevuot 36a:23,74,0.3625
292,Bava Kamma 20b:3,Yoma 22b:9-10,132,0.020080321285140562
293,Yoma 53b:13,Yoma 56b:13-14,175,0.45544554455445546
294,Bekhorot 5b:5-6,Sanhedrin 106a:12-13,168,0.8780487804878049
295,Kiddushin 37b:6,Meilah 11b:2,87,0.7513227513227513
296,Bava Batra 154a:4,Shabbat 78b:8,169,0.5674931129476584
297,Ketubot 110b:5,Sanhedrin 101a:1,150,0.5791044776119403
298,Horayot 8a:4,Zevachim 48a:9,90,0.641860465116279
299,Berakhot 10a:21,Pesachim 119a:4,154,0.32068965517241377
300,Eruvin 22a:25-26,Gittin 76a:9-10,113,0.6260162601626016
301,Zevachim 58a:10,Zevachim 61b:11-62a:1,99,0.5403225806451613
302,Sanhedrin 41a:12,Sanhedrin 72b:16,124,0.9182879377431906
303,Gittin 31b:2-3,Temurah 16a:18,137,0.038929440389294405
304,Ketubot 5b:5,Shabbat 133a:2-3,130,0.021367521367521368
305,Menachot 21b:4,Zevachim 42a:4,164,0.33980582524271846
306,Shevuot 21b:11,Yoma 73b:18-19,188,0.7714987714987716
307,Kiddushin 78a:10,Yevamot 77a:8,154,0.32934131736526945
308,Bava Metzia 105b:16,Shabbat 85b:3,102,0.2634146341463415
309,Berakhot 4a:15-17,Sanhedrin 98b:5-6,175,0.7821782178217822
310,Avodah Zarah 37a:5,Nedarim 27a:9,146,0.5650793650793651
311,Bava Batra 30b:4,Ketubot 109a:12-13,113,0.7194244604316546
312,Bava Kamma 94a:9-10,Makkot 16b:3-4,128,0.3288409703504043
313,Niddah 18b:4-5,Niddah 29a:25,81,0.8306010928961749
314,Gittin 36b:3-5,Yevamot 89b:10-13,446,0.6378947368421053
315,Eruvin 78b:3-5,Gittin 83b:21-22,171,0.5966850828729282
316,Eruvin 16b:20,Shabbat 101a:5-101b:1,150,0.462406015037594
317,Bava Batra 14a:10,Shevuot 7b:4,141,0.44966442953020136
318,Gittin 72b:2,Nedarim 27a:9,125,0.6937269372693727
319,Temurah 5b:8,Zevachim 81b:8,62,0.8208955223880597
320,Bekhorot 14b:15-16,Shevuot 11b:5-6,206,0.05591397849462366
321,Beitzah 23b:11-12,Shabbat 106b:2,138,0.5914786967418546
322,Kiddushin 81b:6-7,Nazir 23a:6-7,378,0.007220216606498195
323,Bava Metzia 91a:1,Sanhedrin 10a:10,86,0.417910447761194
324,Gittin 23b:7,Kiddushin 23b:5,135,0.6859205776173285
325,Ketubot 111b:7,Sanhedrin 99a:15,117,0.5302013422818792
326,Zevachim 109a:14-109b:1,Zevachim 25b:16,89,0.8421052631578947
327,Bava Metzia 85b:1,Nedarim 81a:4-5,166,0.3115124153498871
328,Menachot 55b:19,Zevachim 48b:8,64,0.8776978417266187
329,Pesachim 69b:9,Yevamot 14a:9,119,0.4887640449438202
330,Chullin 122b:6,Zevachim 64b:17,110,0.5547945205479452
331,Bava Metzia 81a:3,Shabbat 92b:5,69,0.18181818181818182
332,Ketubot 53a:9-10,Yevamot 91a:4,97,0.611764705882353
333,Bava Kamma 8b:4,Gittin 50b:1-2,124,0.50187265917603
334,Berakhot 51b:23-52a:1,Pesachim 114a:7-9,162,0.24802110817941952
335,Ketubot 77b:3,Pesachim 12b:15,96,0.3155080213903743
336,Yevamot 18b:13-15,Yevamot 31b:12-13,245,0.08646616541353383
337,Sanhedrin 29a:18,Sanhedrin 31a:10,128,0.8194444444444444
338,Bava Kamma 99a:11-12,Kiddushin 48a:12-13,122,0.555
339,Kiddushin 42b:10,Shevuot 26b:18,81,0.6666666666666666
340,Eruvin 36b:13-37a:1,Sukkah 23b:5-24a:1,170,0.8549618320610687
341,Bava Metzia 56a:6,Nedarim 44b:1,53,0.7407407407407407
342,Ketubot 13b:6,Niddah 3b:4-5,63,0.22857142857142856
343,Pesachim 30b:11,Shabbat 74b:4,158,0.0654911838790932
344,Chagigah 15b:11,Sanhedrin 46a:15,137,0.4770992366412214
345,Bava Batra 128b:9,Ketubot 22b:9,172,0.6123595505617978
346,Bekhorot 30b:5,Chullin 133a:1-2,177,0.04466501240694789
347,Beitzah 40a:14,Shabbat 45b:2,137,0.319634703196347
348,Gittin 45a:3-4,Kiddushin 56b:1-2,147,0.7184466019417476
349,Pesachim 117a:13,Pesachim 66b:8,165,0.37142857142857144
350,Kiddushin 17a:10-11,Yoma 72a:1-2,142,0.4444444444444444
351,Pesachim 26a:11,Sanhedrin 67b:4,91,0.7582417582417582
352,Kiddushin 78a:12-13,Zevachim 12b:20,150,0.5466666666666666
353,Nedarim 25a:11,Shevuot 29a:15,91,0.6829268292682927
354,Chullin 111a:7,Shabbat 119a:2,140,0.2796833773087071
355,Yevamot 90a:10,Yoma 68b:19,113,0.5149253731343284
356,Nazir 63a:5-6,Pesachim 81b:6-7,186,0.6422976501305483
357,Makkot 20b:7,Sanhedrin 10a:10,86,0.41409691629955947
358,Bava Metzia 84a:10-11,Berakhot 55b:12,166,0.23414634146341465
359,Gittin 90a:10,Rosh Hashanah 3a:2,101,0.6826923076923077
360,Niddah 34a:10-11,Shabbat 48b:9,59,0.5549738219895288
361,Bava Kamma 14a:24,Bava Kamma 36b:9,87,0.8586956521739131
362,Menachot 60a:8,Menachot 75b:2,104,0.25
363,Keritot 3a:26,Shabbat 103b:4,83,0.6836734693877551
364,Temurah 30b:5-6,Yevamot 35b:8-9,170,0.33766233766233766
365,Rosh Hashanah 29b:10-11,Sukkah 42b:10-43a:1,178,0.5122615803814714
366,Bava Kamma 55b:6-7,Bava Kamma 59b:8-9,77,0.8021390374331551
367,Chullin 83a:2,Makkot 20b:7,101,0.30578512396694213
368,Makkot 18a:5-18b:1,Meilah 17b:9,161,0.425414364640884
369,Menachot 77b:12-15,Zevachim 57b:2-5,323,0.6197604790419161
370,Kiddushin 33a:10,Shabbat 40b:9,112,0.024390243902439025
371,Bava Metzia 96a:20,Nazir 12b:3,209,0.0044742729306487695
372,Chagigah 10a:6,Nazir 62a:12,107,0.8016194331983806
373,Menachot 47a:1-2,Pesachim 13b:10-12,261,0.044905008635578586
374,Eruvin 48a:8-9,Shabbat 101a:5-101b:1,127,0.40471512770137524
375,Bekhorot 12a:24,Bekhorot 15a:9,104,0.5188679245283019
376,Bava Metzia 12b:8-9,Gittin 64b:12,51,0.6712328767123288
377,Bava Metzia 57b:18-58a:1,Yoma 65a:11-13,72,0.2662337662337662
378,Berakhot 6b:34-36,Shabbat 30b:3,328,0.11312217194570136
379,Zevachim 34b:15,Zevachim 74a:2,55,0.8461538461538461
380,Pesachim 85a:2,Pesachim 95a:7,85,0.5098039215686274
381,Bekhorot 15b:3-4,Temurah 17b:7-8,208,0.328
382,Gittin 57a:13,Ketubot 112a:13,217,0.1029082774049217
