,Masechet,Daf,Line,Masechet,Comment
24,Bava Kamma,24,0,בכורות,במעשר נאמר לא יגאל - וגמרינן בבכורות בפ' [חמישי] (דף לב.) האי לא יגאל מלא יגאל דחרמים דכתיב בהן לא ימכר ולא יגאל מה להלן מכירה עמו אף כאן מכירה עמו הלכך אינו נמכר לא חי ולא שחוט כו' אלמא לאו ממון בעלים הוא:
25,Bava Kamma,32,1,"ר""ה","או שהיו צרורות מנתזין כו' - אע""ג דלאו שינוי הוא אלא אורחיה הוא אפ""ה ח""נ ותו לא דהלכתא גמירי להו וברשות הניזק קאמר דברה""ר פטור כדאוקימנא בריש פ""ק (דף ג:) דצרורות תולדה דרגל לפוטרו בר""ה:"
26,Bava Kamma,39,1,מעילה,נטל אבן או קורה - מפרש במסכת מעילה דבגזבר עסקינן:
27,Bava Kamma,45,5,יומא,וקביל זוזך - אפילו ביומא דלאו דשוקא שחיט להו הואיל ולשחיטה קיימן:
28,Bava Kamma,48,0,נדה,"קרי בזב מניין - קריו של זב מניין שתהא הטיפה מטמא במגע ובמשא כטיפה של זוב דקי""ל במסכת נדה (דף נה.) שמטמא במשא וקרי לא דמי לזוב כדאמר בפרק בנות כותים (נדה דף לה:) זוב דומה ללובן ביצה המוזרת קרי דומה ללובן ביצה שאינה מוזרת:"
30,Bava Kamma,51,1,שבת,"לענין שבת פטור - ואע""ג דמקריא שגגה לענין גלות פטור בשבת דבעינן מלאכת מחשבת שנתכוין לעשות מלאכה וכסבור שהיום חול וזה לא נתכוין:"
31,Bava Kamma,65,1,ערכין,"כדרבי אבהו - דאמר במסכת ערכין (דף כג:) גבי מקדיש נכסיו והיתה עליו כתובת אשה ובעל חוב וקתני התם דיהיב להקדש מידי פורתא וגבי בעל חוב דיליה ואמר ר' אבהו דהא דבעי למיתב להקדש מידי משום גזירה שמא יאמרו הקדש גמור יוצא לחולין בלא פדיון:
"
32,Bava Kamma,67,0,שבת,שורו שהדליק את הגדיש בשבת חייב - חצי נזק דמשונה הוא:
34,Bava Kamma,75,0,נדה,"מרקם טהורים - עיר שרובה נכרים היא ודם נכרי' טהור מדאורייתא דכתיב (ויקרא י״ב:ב׳) דבר אל בני ישראל אשה כי תזריע וילדה בת ישראל מטמאה בלידה ובנדה ולא נכרית ואע""ג דרבנן גזרו עליהם שיהו כזבין על כתמיהן לא גזרו דהא כתמין דישראל גופייהו מדרבנן נינהו דמדאורייתא דם יהיה זובה בבשרה כתיב (שם טו) שתראהו מגופה ולא שתמצאהו בבגדה ואפילו ראתה מגופה אמרינן במס' נדה (דף לד.) שלא גזרו על דם נכרית טומאה אלא בעודו לח דתנן דם הנכרית ב""ש מטהרין וב""ה אומרים כרוקה וכמימי רגליה מטמאין לח ואינן מטמאין יבש:"
35,Bava Kamma,89,0,בבא מציעא,"דאמר שוכר כשומר חנם דמי - בבבא מציעא בהשואל (ד' צה:) ונתני חוץ משומר חנם והשוכר:
"
36,Bava Kamma,96,2,כתובות,שמין את האשה - כמה האשה יפה בשביל ולדות הללו עד שלא ילדה וכמה היא יפה עכשיו כשנתרוקנה ונפחתו דמיה ונותן לבעל ונזקה של אשה אינו בכלל שומא זו דאין כאן אלא פחת ריקון העובר אבל כחש גופה מחמת המכה ונפחתו דמיה משהיתה ראויה לימכר כשהיתה בריאה ריקנית הוא נזק ואינו של בעל אלא כשאר חבלה הוא והדין קצוב בכתובות (דף סה:) בזמן שבסתר לה שני חלקים ולו אחד ובזמן שבגלוי לו ב' חלקים כו':
37,Bava Kamma,96,0,כתובות,וצער בפני עצמו - ונזקא דהכא כחבלה דעלמא הקצוב במסכת כתובות כדפרישית לעיל:
38,Bava Kamma,97,0,שבת,"לא קשיא - כלומר אמר לך רב חסדא תרוייהו תנאי כוותי קיימי דבדמי ולדות פטור והא דתניא חייב בשבת ולדות ואליבא דר""ש דאמר אשה פלגא בהו והיא קיימת: "
39,Bava Kamma,100,0,בכורות,"שור פסולי המוקדשין - כגון בכור בעל מום שהוא של כהן דקרינן ביה שור רעהו או שור קרבן שנפל בו מום ונפדה דקרינא ביה שור רעהו ואפ""ה לענין בור פטור דכתיב והמת יהיה לו מי שראוי לו להאכיל נבילתו לכלבים יצא זה כו' דהכי אמרינן בבכורות (דף טו.) גבי פסולי המוקדשין שנפדו תזבח ולא גיזה בשר ולא חלב ואכלת ולא לכלביך אבל שור שנגחו חייב כדמפרש לקמיה בפירקין ולהכי נקט פסולי המוקדשים דאילו קדשים תמים מאי אריא בור אפי' שור שנגחו נמי פטור דכתיב שור רעהו ולא שור הקדש:"
40,Bava Kamma,102,2,בבא בתרא,"אי במסירה - קני להו שהיה רה""ר או חצר שאינה של שניהן שאין משיכה קונה שם דאין משיכה אלא בסמטא או בחצר של שניהן בהמוכר את הספינה בבבא בתרא (דף עו:):"
42,Bava Kamma,110,1,גיטין,העושה מלאכה במי חטאת - ששקל כנגדן משקלות במסכת גיטין (דף נג.) והן נפסלין במלאכה:
44,Bava Kamma,118,1,שבת,"ליהוי כזורה - דחייב משום מלאכה בשבת אע""פ שהרוח מסייעתו כשהוא מגביה התבואה ברחת שקורין פליי""א:"
45,Bava Kamma,119,0,"ב""ב","מלך פורץ - גדר שדה אחרים לעשות לו דרך ולאוכלוסין שלו דאמרי' בב""ב (דף ק:) דרך המלך אין לה שיעור:
"
46,Bava Kamma,120,0,שבת,"מתני' דרך הרבים - י""ו אמות מעגלות דדגלי מדבר ילפינן במסכת שבת (ד' צח:): גמ' תנא דידן קא חשיב מלמעלה למטה שש אמות או חמש אמות או ד' אמות פטור. דס""ל עד ועד בכלל:
"
47,Bava Kamma,120,0,שבת,"מתני' דרך הרבים - י""ו אמות מעגלות דדגלי מדבר ילפינן במסכת שבת (ד' צח:): גמ' תנא דידן קא חשיב מלמעלה למטה שש אמות או חמש אמות או ד' אמות פטור. דס""ל עד ועד בכלל:"
48,Bava Kamma,122,1,שבועות,עשו תקנת נגזל באשו - כי היכי דתקנו רבנן לנגזל לישבע כמה גזלו ויטול דתנן במסכת שבועות (דף מד:) אלו נשבעין ונוטלין השכיר והנגזל כך תקנו באשו שישבע מה הטמין ויטול:
49,Bava Kamma,124,1,חולין,"אבל עופות טמאים לא - דלית בהו טומאה כדאיתא בחולין (ד' ק:) יכול תהא נבלת עוף טמא מטמא בגדים אבית הבליעה ת""ל נבלה וטרפה לא יאכל לטמאה בה מי שאיסורו משום בל תאכל נבילה וטריפה יצא זה שאין איסורו משום בל תאכל נבילה וטריפה אלא משום בל תאכל טמא:"
51,Bava Kamma,137,0,שבת,הלוקח יין מבין הכותים - בערב שבת בין השמשות כדתניא בתוספתא וקדש עליו היום ואין לו מה לשתות בשבת ואין לו פנאי להפריש:
52,Bava Kamma,138,0,שבת,גנב ומכר בשבת - אבל טבח קם ליה בדרבה מיניה:
53,Bava Kamma,138,0,חולין,בשני אלו - בטרפה ובחולין בעזרה דקא סבר רבי שמעון שחיטה שאינה ראויה לא שמה שחיטה אבל לרפואה ולכלבים שחיטה ראויה היא דאי בעי מצי אכיל מיניה:
54,Bava Kamma,139,0,שבת,עקוץ תאינה - לקוט תאינים מתאינתי בדמי הגניבה בשבת וכן עשה ונתחייב מיתה:
55,Bava Kamma,139,0,שבת,זרוק גניבה לחצרי - בשבת ואני אתן לך מעות וכן עשה קנאה לוקח וזה נתחייב מיתה:
56,Bava Kamma,140,0,מכות,ר' מאיר היא - במסכת מכות (דף ד.) מעידים אנו בפלוני שחייב לחבירו מאתים זוז ונמצאו זוממין לוקין ומשלמין שלא השם המביאן לידי מכות מביאן לידי תשלומין:
57,Bava Kamma,140,0,שבת,"גנב וטבח בשבת - ואע""ג דאיכא חיוב מיתה:"
58,Bava Kamma,140,0,"ע""ז","בשלמא ע""ז ושור הנסקל - איסורי הנאה נינהו דאמר במסכת ע""ז (דף נד.) אע""פ שאמרו המשתחוה לבהמת חבירו לא אסרה עשה בה מעשה אסרה:"
59,Bava Kamma,144,0,שבת,בכת אחת בזה אחר זה - שהעידו היום על הגניבה ואמרו באחד בשבת גנב ולמחר על הטביחה ואמרו בשני בשבת טבח:
60,Bava Kamma,144,0,שבת,"ומאי נינהו כו' אבל בעדות אחת בבת אחת - שהעידו על שתיהן זו בתוך כדי דיבור של זו ואמרו באחד בשבת גנב ובשני בשבת טבח והוזמו על שני בשבת ואע""ג דאאחד בשבת לא איתזום מיהו איגלאי מלתא דכי אסהוד פסולין הוו דסבר ר' יוסי למפרע הוא נפסל ובטלה כל עדות אותה שעה שכולה עדות אחת היא:"
61,Bava Kamma,144,1,שבת,"אגניבה דלא מיתזמי לא איתזום - ואע""ג דבהדדי אסהידו ליה הא לא אתחיל פסולייהו מההיא שעתא דנימא אע""ג דאאחד בשבת לא איתזום מיהו שעת עדותן שעת פסלות היתה:"
62,Bava Kamma,147,0,שבת,מאי לאו שהעידו על הגניבה - שגנב באחד בשבת:
63,Bava Kamma,147,1,שבת,וחזרו והעידו - שטבח בשני בשבת והוזמו על יום ראשון בשלישי בשבת:
64,Bava Kamma,147,2,שבת,וחזרו והוזמו - ברביעי בשבת על יום שני:
65,Bava Kamma,147,0,שבת,"וקתני משלמין ד' וה' - ואע""ג דמשלישי בשבת היו מוכחשים על הטביחה דכיון דלא גנב לא טבח:
"
66,Bava Kamma,147,0,שבת,וגנב וטבח בשבת - פטור אטביחה דהוי מתחייב בנפשו:
67,Bava Kamma,148,0,סנהדרין,"אמר רבא - גרסינן ולא גרסינן אמר ליה קפחתינהו לסבי דבי רב רב המנונא קרי סבי דבי רב כדאמר בפ""ק דסנהדרין (דף יז:):"
69,Bava Kamma,154,0,בכורות,"אי למעשר בהמה - ואע""ג דלא כתיב ביה שה אלא צאן קאמר רבא דפסול הא אמרינן בבכורות לענין מילי טובא דגמר תחת השבט מתחת אמו הלכך להא מלתא יליף נמי ופסול:"
71,Bava Kamma,154,0,בכורות,"וטהורה מטמאה מי מיעברא - דאיצטריך למעוטי והא קיימא לן בפ""ק דבכורות (דף ז.) לעולם אין מתעברת לא טמאה מן הטהורה ולא טהורה מן הטמאה:"
73,Bava Kamma,155,0,תמורה,עובר ירך אמו הוא - פלוגתא בתמורה (ל: לא.):
74,Bava Kamma,159,0,תענית,מתריעים - בצבור ובתחנה ובשופרות ובחצוצרות במסכת תענית:
75,Bava Kamma,159,0,שבת,לא היו מתריעין - בשבת:
76,Bava Kamma,159,0,"ב""ב","מלתא דנפשיה - בב""ב בהשותפין (ב""ב דף יב:) דאימנוה לאותוביה ברישא ולא איסתייעא מילתא:"
77,Bava Kamma,160,2,תענית,"עד שתרד רביעה שניה - זמנה בי""ז במרחשון כדאמרינן בתענית (דף טז.) ומאז והלאה הזרעים צומחות וקשה לה דריסת הרגל:"
78,Bava Kamma,163,0,מנחות,ועל אותה שעה שנינו - במנחות (דף סד:) מעשה שבא העומר שהיה רגיל לבא מן הקרוב לירושלים אותה שעה בא מגנות צריפין רחוק מירושלים לפי שהחריבו בני המצור את תבואות השדה:
79,Bava Kamma,164,0,בכורות,"ניבי - ינייבי""ש ל""א ארבע שיני הכלב הארוכות שבהן נושך כך שמעתי (חולין דף נט.) (בבכורות):"
80,Bava Kamma,166,1,שבת,הייא - מהר כמו אשור הייא במסכת שבת (דף קיט.):
81,Bava Kamma,167,0,סנהדרין,אלהים בעינן - דהא כולהו בפרשת אלה המשפטים כתיבי אדם באדם וכי יריבון אדם בשור וכי יגח ובההיא פרשה כתיב עד האלהים יבא דבר שניהם וקסבר אכולהו קאי והיינו מומחין וסמוכין ובבבל אין סמיכה כדאמר בסנהדרין פ' קמא (דף יד.) שור בשור ושור באדם נמי התם כתיבי שור בשור וכי יגוף שור וגו' שור באדם ארבעה שומרים התם כתיבי ושליחות יד התם כתיב:
83,Bava Kamma,168,0,שבת,"ה""ג וחכמים אומרים שבתו ורפואתו כל שישנו כו' - הקישן הכתוב וזה שאין חייב בשבת אינו חייב בריפוי ורבנן קמאי מחייבי ליה לתרוייהו:"
84,Bava Kamma,173,1,שבת,מודה רב בשבת - דיהבינן ליה לאב:
86,Bava Kamma,174,0,מכות,"זוממי עבד - עדים שחייבוהו מיתת בית דין ונמצאו זוממין לא יהרוגו אלמה קים לן דעבד כישראל לענין מיתת ב""ד דתנן במסכת מכות (דף ח:) וישראל לוקה [וגולה] על ידי עבד:"
87,Bava Kamma,174,0,יבמות,"תיקשי לך גר - שלידתו והורתו בקדושה אפילו לרבי יהודה יש לו אחוה ופסול למלכות ואפילו לשוטר בעלמא אא""כ אמו מישראל בפרק החולץ ביבמות (דף מה:):"
88,Bava Kamma,174,1,שבועות,פסולה לעדות - דכתיב גבי עדים זוממין ועמדו שני האנשים ותניא בשבועות (דף ל.) בעדים זוממין הכתוב מדבר דמשמע אנשים ולא נשים קטן נמי מהכא נפקא לן דכתיב אנשים ולא קטנים ועוד דעדות שאי אתה יכול להזימה היא דלאו בר עונשין הוא:
89,Bava Kamma,174,0,סנהדרין,"דאי ס""ד - כוליה קרא לכדאמר בסנהדרין (דף כז:) אתא לפסול קרובים:"
90,Bava Kamma,176,1,יבמות,יאמרו בנכסי צאן ברזל - בכתובתה דהיינו נדוניא שהכניסה לו בשומא מבית אביה וכותבין אותה בכתובתה ומקבל עליו חתן אחריות ואם פיחתו פיחתו לו ואם הותירו הותירו לו כדאמרינן [ביבמות באלמנה לכהן גדול (יבמות דף סו.)] נכסי צאן ברזל נכסים העומדים באחריות המקבל לשלם כעין ברזל זה שהוא קשה להיות פוחת והתם ודאי לא מצי מזבנה:
91,Bava Kamma,177,0,כתובות,"כ""ה - סלעים והוא מנה מאה זוז כתובת אלמנה ופחותה שבכתובות נקט:
"
92,Bava Kamma,178,0,ערכין,הקדש - עשה שורו אפותיקי לבעל חובו וחזר לוה זה והקדישו קדושת הגוף למזבח הפקיע שיעבודיה דמלוה ומותר למזבח ואין בו משום גזל ששבח הקדש מפקיעו הואיל ולא היה קנוי לו ממש אלא עומד לגבות הימנו ודוקא קדושת הגוף אבל קדושת דמים לא אלימי לאפקועי שיעבוד מלוה דתנן מוסיף מלוה עוד דינר ופודה את הנכסים האלו על מנת לשלם לאשה את כתובתה כו' במסכת ערכין (דף כג:) ותכריכי המת כקדושת הגוף דמי ומפקעי ונאסרין בהנאה:
93,Bava Kamma,178,1,פסחים,חמץ - נכרי שהלוה את ישראל על חמצו ולא הרהינו אצלו דמחוסר גוביינא שהיה עומד החמץ בביתו של ישראל ואין לנכרי עליו אלא שיעבוד כשבא עת ביעורו מפקיע איסור החמץ את שיעבוד הנכרי וחייב ישראל לבערו והא דתנן בפסחים (דף ל:) נכרי שהלוה לישראל על חמצו מותר בהנאה לאחר הפסח מוקי לה רבא התם בשהרהינו אצלו שנתנו במשכון ביד נכרי דלא מחוסר גוביינא ולאו שיעבוד אלא קנייה ממש:
94,Bava Kamma,178,2,סנהדרין,סטרו - על הלחי כמו הסוטר לועו של ישראל בסנהדרין (דף נח:):
95,Bava Kamma,178,0,בכורות,צרם - משך ובבכורות (דף לד.) שמעתי לשון פוגם:
96,Bava Kamma,181,0,שבועות,מה הטבה רשות - בשבועות (דף כז.) מפרש ליה לקרא דלא מתוקם אלא בדבר הרשות:
97,Bava Kamma,181,0,שבועות,"דכוותיה גבי הרעת אחרים - דקתני התם יכול נשבע להרע לאחרים ולא עשה יהא חייב ת""ל להרע או להטיב מה הטבה רשות בשבועות (שם) כו':"
98,Bava Kamma,181,0,נזיר,וכפר עליו - בנזיר כתיב:
99,Bava Kamma,181,2,תענית,מכל דבר - המסגף עצמו בתענית:
100,Bava Kamma,182,0,מכות,"מגולגלין בארון - לא היה שלדו קיימת ומחוברת מפני נידוי דקאמר ליה ליעקב אם לא אביאנו אליך וחטאתי לך כל הימים (בראשית מ״ג:ט׳) ואע""פ שנתקיים התנאי נפקא לן במסכת מכות (דף יא:) קללת חכם אפי' על תנאי היא באה:"
101,Bava Kamma,183,0,כתובות,ועיניה מטייפי - עיניו מצפות למעלה למרחוק למזונותיו וחבירו בכתובות (דף ס.) נטוף עיניך:
102,Bava Kamma,183,0,תמיד,המחובר לטמא טמא כו' - במסכת כלים היא בפרק טבעת אדם דקתני אונקלי של דרגש ושל שולחן טמאה ושל מנורת עץ טהורה זה הכלל המחובר לטמא טמא לטהור טהור אונקלי מסמר של מתכת עשוי כמזלג לתלות שם בהמה בשעת הפשטה ותחוב בכותל כדאמרינן בתמיד נשחט (פסחים סד.) אונקליות של ברזל היו תחובין בעמודים כו' ואם תחבו במנורת עץ דפשוטי כלי עץ בטל מסמר לגבה ואינה מקבלת טומאה ואפי' נגעה בו טומאה אבל בדרגש ובשולחן שמקבלין טומאה הן אף הוא מקבל טומאה:
103,Bava Kamma,183,1,שחיטת חולין,לא לחנם הלך זרזיר - רבי אליעזר סבר זרזיר עוף טמא הוא ורבנן פליגי עליה בשחיטת חולין באלו טריפות (חולין ד' סה.):
104,Bava Kamma,185,0,שחיטת חולין,אין מצטרף - דתנן בשחיטת חולין חמש רחלות גוזזות כל אחת מנה ופרס חייבות בראשית הגז וראשית הגז מהו הגוזז רחל לאחר שגזזה נותן מן הגיזה לכהן לפי מה שירצה ובלבד שתהא נתינה חשובה וקתני דאם גזז אחת וצבעה וכן שניה וכן שלישית אין מצטרפות למנה ופרס להתחייב דקננהו בשינוי:
105,Bava Kamma,186,0,ברכות,"מרחו - מחליק את הכרי ברחת ומירוח הוי גמר מלאכה למעשר הלכך מעשר כל מעשרותיו תחלה ואחר כך נותן לו פאה כדי שלא יפסיד עני שאילו היה נותנו קודם מירוח אע""פ שעני מצרף לקט שכחה ופאה הרבה ועושה מהן כרי פטור מן המעשר שהרי הפקר הוא אבל עכשיו שנתמרח ביד בעל הבית נתחייב במעשר דהכי אמרינן במסכת ברכות (דף מ:) לקט שכחה ופאה שעשאן בגורן הוקבעו:"
107,Bava Kamma,188,0,גיטין,"פירות ושבח פירות - תנן במסכת גיטין (דף מח:) אין מוציאין לאכילת פירות ולשבח קרקעות מנכסים משועבדים מפני תקון העולם הפסד לקוחות אכילת פירות ושבח קרקעו' מפרש להו בשנים אוחזין (ב""מ ד' יד:):"
108,Bava Kamma,195,0,פסחים,במועד - בזמן ביעורו בו' שעות ודכוותה בפסחים (דף י:) לא בדק בתוך המועד יבדוק לאחר המועד:
109,Bava Kamma,197,0,סנהדרין,לכשיצא כו' - בדיין קמיירי בסנהדרין:
111,Bava Kamma,202,0,"ב""מ","ואיבעית אימא - הך סתמא ודאי עיקר הוא דקתני לה התם בב""מ (עו.) גבי הלכתא פסיקתא דהא לא שייכא התם ולא תני אלא משום פיסוק הלכה שפסקה התנא עם כל החוזר בו שלא נחלק אדם עליהן:"
112,Bava Kamma,204,0,יבמות,"ופנחיא בעלמא הוא דבעינא - כלומר להצלה נתכוונתי פנחיא לשון חוזק וחבירו בהאשה [שלום] ביבמות (דף קטו:) לפנחיא שבקיה גבי מצא כלי וכתוב עליו קו""ף קרבן מ""ם מעשר תי""ו תרומה:"
113,Bava Kamma,209,0,שבועות,ושכנגדו חשוד - במסכת שבועות (דף מד:) גבי ואלו נשבעין ונוטלין דזה אחד מהן מי שהיה לו חבירו חייב שבועה והוא חשוד על השבועה שנמצא שקרן בשבועתו שכנגדו נשבע ונוטל:
114,Bava Kamma,210,1,סנהדרין,"רב המנונא תלמידו דרב הוה - דקיימא לן אמרי בי רב רב המנונא בפ""ק דסנהדרין (דף יז:) ואי לאו דידע דאפילו בהודה פטר רב לא הוה מותיב ליה מהואיל דיכול לחזור ולהודות:"
115,Bava Kamma,211,2,שחיטת חולין,"כר""מ - בשחיטת חולין דתנן השוחט את הבהמה ומצא בה בן ט' חי כו':"
116,Bava Kamma,217,1,סנהדרין,קטן - שאין איש בידוע שאין לו בנים יתנהו לכהנים ומהכא נפקא לן דקטן לאו בר אולודי הוא בסנהדרין בבן סורר ומורה (סנהדרין דף סט.):
117,Bava Kamma,217,1,שבת,כשהוא אומר מלבד איל הכפורים - משמע למי שזה ניתן זה ניתן ואיל הכפורים אין יכול להקריב אלא כהן שבאותו משמר כדכתיב (דברים י״ח:ח׳) לבד ממכריו על האבות אני בשבתי ואתה בשבתך:
118,Bava Kamma,217,1,זבחים,אי [בכהן] טמא - היכי מצי למימר דבר שיש לו חלק בו והא קיימא לן בזבחים (דף צח:) דאין טמא חולק בקדשי המקדש ואפילו בעורות וגזל הגר נמי קדשי המקדש הוא:
119,Bava Kamma,217,1,ערכין,"לשדה היוצאה לכהנים - מקדיש שדה אחוזה ולא גאלה מן ההקדש ומכרה גזבר לאחרים כשהיא יוצאה מיד הלוקח ביובל מתחלקת לכהנים משמר שנכנס בו יובל שנאמר ואם לא יגאל את השדה בעלים ואם מכר את השדה גזבר לא יגאל עוד בעלים אלא והיה השדה וגו' והכי תניא בת""כ ובערכין:"
120,Bava Kamma,218,0,מנחות,לבעלי מומין טהורין - מתחלקת דקיימא לן זבחים (ד' צח:) איש חולק ואפי' בעל מום בקדשים ובמנחות:
121,Bava Kamma,219,0,מנחות,"אין חולקים - מנחות כנגד מנחות וקרבן כנגד קרבן מלכל בני אהרן תהיה איש כאחיו נפקא לן בקדושין (דף נג.) ובמנחות פרק אלו מנחות (מנחות דף עג.):
"
122,Bava Kamma,219,3,בכורות,פטור - ובמסכת בכורות מפרש טעמא:
123,Bava Kamma,219,6,"זבחים, מנחות",ולוג שמן של מצורע - מה שנשאר בלוג מיציקה לכף כהן של השמאלית נאכל לכהנים דתניא במנחות (דף עג.) ובזבחים (דף מד:) לכל קרבנם לרבות לוג שמן של מצורע דהוא נמי קרוי קרבן דכתיב והקריב אותו לאשם ואת לוג השמן וסמיך ליה לקרא קמא בקדש הקדשים תאכלנו בויקח קרח:
