,Masechet,Daf,Line,Perek,Comment
35,Bava Kamma,40,0,המניח,"לימא - רב ושמואל בחופר בור ברשותו והפקיר רשותו ולא הפקיר בורו קמפלגי ובפלוגתא דרבי ישמעאל ור""ע דפליגי בה לקמן בפרק שור שנגח את הפרה (בבא קמא דף מט:) דרב סבר חייב ומשום הכי פטורה הך בהמה דזה ששטח שם פירותיו הוה ליה כמו בור שאם הוחלקה בהן בהמה חייב שהרי הפקיר רשותו הלכך לא היה לו לעשות כן וקי""ל בהמניח את הכד (לקמן בבא קמא דף ל.) כל המקלקלין ברשות הרבים שהזיקו חייבין לשלם וכל המחזיק בהן זכה:"
36,Bava Kamma,43,3,גדיש,"עבד כפות לו וגדי סמוך לו ונשרפו עמו פטור - אגדי ואגדיש דקם ליה בדרבה מיניה שההורג העבד נהרג דכתיב נקם ינקם (שמות כ״א:כ׳) והאי דנקט גדי משום דמוקמינן לקמן בגדי דחד ועבד דחד דבגדיש ועבד ליכא לאוקמי הכי דאורחא דמלתא לשדורי איניש עבדיה לשמור גדישו ואיידי דנקט גבי עבד כפות וסמוך נקט גבי גדי כפות וסמוך ואע""ג דבגדי אין לומר היה לו לברוח שהרי אין בו דעת ואם אינו כפות וסמוך נמי חייב כדאמרינן בשילהי פרקין (דף כז.) שורו כממונו:"
37,Bava Kamma,44,0,גדיש,בגדיש דעלמא - אמאי משלם חררה הא שן הוא ובעינן שדה אחר דניזק וליכא:
38,Bava Kamma,48,0,בנות כותים,"קרי בזב מניין - קריו של זב מניין שתהא הטיפה מטמא במגע ובמשא כטיפה של זוב דקי""ל במסכת נדה (דף נה.) שמטמא במשא וקרי לא דמי לזוב כדאמר בפרק בנות כותים (נדה דף לה:) זוב דומה ללובן ביצה המוזרת קרי דומה ללובן ביצה שאינה מוזרת:"
40,Bava Kamma,50,0,שק,שכן ישנו בבור - שאם היה גדי טמון בשק או במרצוף ונתגלגל ונפל לבור חייב:
41,Bava Kamma,51,1,החובל,פצע תחת פצע - קרא יתירא הוא להך דרשה דהא כתיב כי יתן מום בעמיתו כאשר עשה וגו' וכויה וחבורה דרשינן בהחובל (לקמן בבא קמא דף פד:):
42,Bava Kamma,51,0,החובל,במקום נזק - דאפי' היכא דאיכא נזק משלם נמי צער דלא תימא צער דכתבה רחמנא היינו בדליכא נזק כגון כוואו בשפוד על צפרנו דלא אפחתיה מכספיה ולהך דרשה מפקינן ליה בהחובל:
43,Bava Kamma,52,1,חבית,פתח בחבית - דקתני זה בא בחביתו:
44,Bava Kamma,52,2,חבית,פתח בכד - דקתני וזה בא בכדו של דבש וסיים בחבית דקתני נסדקה חבית של דבש:
45,Bava Kamma,54,0,הגוזל עצים,"חייב בפרט ובעוללות וכו' - אע""ג דהפקר פטור מפאה דתנן (פאה פ""א מ""ד) כל שהוא אוכל ונשמר חייב במעשר ובפאה אפ""ה כי האי הפקר חייב בכל הני כדמפרש טעמא בהגוזל עצים (לקמן בבא קמא צד.) דכתיב ביה תעזוב יתירא ופטור ממעשר. דלא כתיב ביה תעזוב יתירא אלמא הפקר כל דהו פטור ממעשר כדתנן כל שהוא אוכל ונשמר חייב במעשר:"
46,Bava Kamma,55,0,שור שנגח,לר' יהודה דמחייב על נזקי כלים בבור - בפרק שור שנגח את הפרה (לקמן בבא קמא דף נג:):
47,Bava Kamma,57,1,הבית והעלייה,"כשהפכה לפחות מג' - דמתחילה לא הגביה שלשה הלכך לאו הגבהה היא דכבור פתוח דמי ולא נסתם הבור מעולם וכיון דלא נתכוין לקנותה דליכא לחיוביה משום ממונו משום כורה בור נמי לא תחייביה ומיהו היכא דנתכוין לזכות מחייב משום ממונו דאיכא למ""ד חבטה בהפקר קני בלא הגבהה בפרק הבית והעלייה (ב""מ דף קיח.):
"
48,Bava Kamma,58,0,הכונס,בנר חנוכה פטור - בפרק הכונס צאן לדיר דקתני גמל שהיה טעון פשתן:
49,Bava Kamma,61,0,חבית,מתני' זה בא בחביתו כו' - ופגע זה בזה:
50,Bava Kamma,67,1,שור שנגח,כדתנן - לקמן בפרק שור שנגח ד' וה':
52,Bava Kamma,69,0,שור שנגח,גמ' על סומכוס - דאמר לקמן (בבא קמא דף מו.) בברייתא בגמ' בשור שנגח את הפרה ממון המוטל בספק חולקין וממתני' שמעינן דחלוקים עליו חביריו דקתני המוציא מחבירו כו':
53,Bava Kamma,70,1,הזהב,"דינר זהב - עשרים וחמשה דינרים כסף בפרק הזהב (ב""מ דף מה:):"
54,Bava Kamma,70,0,המניח,"גמ' ראשון נשכר מבעי ליה - והאחרון יפסיד שהרי אין ראשון שותף בו שתהא שמירתו עליו להתחייב בנזקין והא לא דמיא לחב עד שלא הזיק דאמרינן בהמניח (לעיל בבא קמא דף לג:) קדמו בעלי חובות והגביהו לא עשו כלום דהתם הוא דאמר ליה ניזק לבעל חוב מהאי תורא דאזקן מיניה משתלימנא ובעל חוב לא מצי למימר ליה הכי הלכך ב""ח יטול נכסים אחרים אבל הכא האי ניזק והאי ניזק ולא משתלם אלא מגופו ומאי דשקיל האי מפסיד האי הלכך קמא קמא קדים:"
55,Bava Kamma,75,0,בגד,"מרקם טהורים - עיר שרובה נכרים היא ודם נכרי' טהור מדאורייתא דכתיב (ויקרא י״ב:ב׳) דבר אל בני ישראל אשה כי תזריע וילדה בת ישראל מטמאה בלידה ובנדה ולא נכרית ואע""ג דרבנן גזרו עליהם שיהו כזבין על כתמיהן לא גזרו דהא כתמין דישראל גופייהו מדרבנן נינהו דמדאורייתא דם יהיה זובה בבשרה כתיב (שם טו) שתראהו מגופה ולא שתמצאהו בבגדה ואפילו ראתה מגופה אמרינן במס' נדה (דף לד.) שלא גזרו על דם נכרית טומאה אלא בעודו לח דתנן דם הנכרית ב""ש מטהרין וב""ה אומרים כרוקה וכמימי רגליה מטמאין לח ואינן מטמאין יבש:"
56,Bava Kamma,80,0,שנים,שסיכן ג' בני אדם - לפיכך לא נסקל בשנים הראשונים וכשנגח שלישי מתו כולם הלכך משלם עליו כופר:
57,Bava Kamma,83,2,יש נוחלין,"והוה ליה ראוי - ולא מוחזק וקיימא לן ביש נוחלין (ב""ב דף קיג.) דאין הבעל יורש את אשתו בראוי לבוא לאחר מיתתה כבמוחזק לה מחיים:"
