,Masechet,Daf,Loc,Text
10,Arakhin,16a,"1,1","ושמעין אינשי - אלמים שהוא עשיר ואזלי ואנסי ליה לממוניה. ל""א אנסי ליה שמתאכסנין אצלו אורחין עד שמכלין ממונו:"
11,Arakhin,19a,"1,2","פאחא - שבר שאינו אלא למשא. ל""א פחחא גרסינן לשון ערום ועריה דמתרגמינן לערום פחיח בתרגום של נביאים (יחזקאל טז):"
12,Arakhin,23b,"9,0","אם חובו כנגד הקדישו פודה - בדבר מועט כדאמרן השתא איכא למימר כי אוזפיה מעיקרא אדעתא למיגביה מהנך נכסי אוזפיה. ואי לאו דחובו יותר מהקדישו לאו אדעתא דהכי אוזפיה אלא המוני מהמניה הלכך לא גבי מהקדש. ל""א ואם לאו אינו פודה אלא בלא פדיון יקח והראשון שמעתי והוא עיקר:"
13,Arakhin,28a,"0,0","והיכי דמי כגון דאמרי בכ""א - דהוי בין קרן בין חומש כ""ו ודינר וזה מוסיף ה' היינו ל""א ודינר:"
14,Bekhorot,3a,"16,1","שגר בהמה שגר בבהמה - שגר במעי בהמה שעדיין לא הגיע זמנו לצאת. ל""א שגר בהמה מה שבהמה משגרת ומשכלת. אלמא אע""ג דלאו בני חיותא נינהו קדשי הכא נמי אי נמי הוה ליה לעובד כוכבים ביה דבר שעושה אותו נבילה ליקדוש חלק הישראל אע""ג דלאו בר חיותא הוא:"
15,Bekhorot,7b,"6,1","אלא שרץ עוף טמא שאתה אין אוכל - דלהכי דייקא ואי אתה דתיהדר ותידוק מיניה אבל אתה אוכל מה שעוף טמא משריץ שאינו ולד דוגמתו כגון דבש. ל""א אלא שרץ עוף טמא אי אתה אוכל ומאידך קרא נסיב לה מכל שרץ העוף וגו':"
16,Bekhorot,8b,"13,0","מילי דכדי - דברי רוח. ל""א מילי דכזיב דברי כזב:"
17,Bekhorot,9a,"1,0","בתיגדא - בכלי. ל""א בתינארא חבית:"
18,Bekhorot,12b,"14,2","מהו דתימא הני מילי - דלא יתננו היכא דמוחזק לן ביה דמיקרי חשוד שראינוהו שנחשד בדבר. ל""א דמיקרי דחזינן ליה דאיתרמי ועבד עבודה בפטר חמור קודם פדיון:"
19,Bekhorot,15b,"6,3","אמר ר' לוי גזרו כו' - אי אמרת אית להו תקנתא לולדות אתי לגדל עדרים מפסולי המוקדשין דכי נפיל ביה מומא בבהמת קדשים לא פריק ליה (האי) ואתי למיכלינהו בלא פדיון אבל כי מפסדינן לולדות ממהר לפדות את האם מיד כשיפול בה מום מפי רבי אליעזר ובתשובתו. ל""א בין למ""ד מומתין בין למ""ד מתפיסן מאי טעמא אטרחוהו רבנן לשבקינהו באיסורייהו גזרה שמא יגדל עדרים עדרים שילדו גם אותן ולדות ולדות אחרים ואתי בהו לידי תקלה אבל לאחר שיפדם לא איכפת אם יולדין דוולד צבי ואיל נינהו. ל""א ועיקר מפי המורה וטעמא מאי אמתני' קא מהדר דמאי טעמא אסור אחר פדיון אמן הא פקע קדושתייהו בפדיון אמן כי היכי דפקעא גבי קדושת דמים דולדן מותר לאחר פדיון כדאמר לעיל גזירה שמא יגדל מפסולי המוקדשין שיפדו עדרים לצורך דולדות הנולדים לאחר פדיון ואתי בהו לידי גיזה ועבודה אבל לעיל גבי קדם מומן להקדישן לא גזרינן משום מילתא דלא שכיחא היא דהא אמרינן במסכת תמורה (דף ו:) המתפיס בעלי מומין למזבח עובר בחמשה לאוין ובקדם הקדשן למומן גופייהו דשרינן דאיעבר ואיתייליד לאחר פדיונן ולא גזרינן (דמילתא דלא שכיחא) כיון דאסרת להנך דאיעבר לפני פדיונן לא אתי לדחינהו:"
20,Bekhorot,16a,"4,3","ואליבא דרבי עקיבא דאמר - בשחיטת קדשים בפ' המזבח מקדש (זבחים דף פד.) אם עלו לא ירדו. דוקין טיל""א כגון (ישעיהו מ) הנוטה כדוק שמים. ולהכי לא ירדו דאין מומן ניכר כל כך הכי תנן בזבחים בפ' המזבח מקדש הראוי לו (דף פד.) ר' עקיבא מכשיר בבעלי מומין כלומר דאם עלו לא ירדו ואמר רבי יוחנן בגמ' לא הכשיר רבי עקיבא אלא בדוקין שבעין הואיל וכשירין בעופות והוא שקדם הקדישן את מומן. ל""א דוקין שיש לו מום בעפעפים ולהכי קרי לעפעפים דוק על העין כרקיע דהכי אמרינן בספרי אגודות העין דומה לעולם קטן העפעפים כנגד הרקיע והתחתון כנגד הארץ והלבן שמקיף את העין כנגד ים אוקיינוס שסובב את העולם והשחור שבו שהוא עגול דומה לגלגל חמה:"
21,Bekhorot,20a,"4,0",ואני איני אומר כן - איני חולק עליך בלשון שמועתי אלא בלשון אחר. ולקמן מפרש מאי איכא בין סבריה לגמריה:
22,Bekhorot,21b,"4,2","לאו היינו דזעירי - דסד""א דהכי אמר דשלשים יום שהוה הולד להבראות וביום ל""א נימוק ויוצא (והכי קאמר זעירי אין טינוף מעכב בלידה שאינה מתעברת ולד אחר פחות משלשים יום):"
23,Bekhorot,27a,"9,1","כהן קטן - ולא גדול מפני שהטומאה יצאה עליו מגופו ואם טבל לקריו הרי הוא כקטן. ל""א להכי נקט כהן קטן שלא ראה קרי ולא יצאה טומאה מגופו ובשאלתות דרב אחאי מפרש הכי:"
24,Bekhorot,28b,"6,1","משום גזירת מגדלי בהמה דקה נגעו בה - משום טורח מגדלי בהמה דקה שיש בה טורח גדול לגדלה וזה שהתיר הבכור הצילו לכהן מטורח גדול דשמא אם הראהו לאחר לא היה מתירו לו והיה לו עוד טיפול מרובה עד שיפול בו מום להכי נגעו בו דלא משלם אלא רביע. ל""א מפני גזירת מגדלי בהמה דקה שעוברין על דברי חכמים כדתנן (ב""ק דף עט:) אין מגדלין בהמה דקה בא""י קנסוהו חכמים דלא לישקל אלא ריבעא. ולא מפי המורה:"
25,Bekhorot,30b,"8,0","הוה ליה מקולי בית שמאי ומחומרי בית הלל - וליתנייה גבי קולי בית שמאי וחומרי בית הלל במסכת עדיות (פ""ה מ""א) דאמרינן ששה דברים מקולי בית שמאי ומחומרי בית הילל ואם איתא ליתני הא. ל""א עד כמה מקבלין אותו דאמרן לעיל אם נהג מתחלה בצינעא בתוך ביתו מקבלין אותו מיד ועד כמה ינהג מתחלה שנקבלנו מיד:"
26,Bekhorot,30b,"10,0","לפי שאינו דומה חבר שקיבל - הוא עצמו לבן חבר מחמת קבלת אביו שאין לו שום קבלה אלא סרך אביו דודאי אביו מיזדהר טפי. ל""א האי לפי שאינו דומה תנא קמא קאמר ליה מה טעם בניו ובני ביתו אין צריכין לקבל לפי שאינו דומה חבר שקיבל לבן חבר שקיבל אביו דבן חבר לא חשיד. ובתוספתא גרסינן שאין דומה חבר שקלקל לבן חבר שקלקל במסכת דמאי:"
27,Bekhorot,35b,"14,1","מהו דתימא ניחוש לחשדא - דרועה גופיה הטילו בו. ל""א אימא כל בעלים עמנו כלומר אי אמרי סהדי כל בעליו של בכור דהיינו הוא ובני ביתו היו עמנו בחוץ ונכנס הבכור שלם בבית ויצא חבול מעידין כלומר עדותן עדות ושרי הואיל ולא היה איש בבית. ניחוש לחשדא שמא הם גרמו לו מתחלה שהניחו לו דבילה על האזן אי נמי עשו לו גומא ונפל שם:"
28,Bekhorot,36b,"3,1","אנא בגידול קבעתה - אני שניתיה לגידול והוא שנאה לרב יהודה והכי אמרי לגידול נאמן ישראל לומר כו'. ל""א בגידול קבעתה לחכם א' גדול שניתיה:"
29,Bekhorot,38a,"8,1","תוכו אוגנו - דהיינו בית קיבול התחתון שיושב עליו. ל""א אוגנו שפתו:"
30,Bekhorot,39b,"14,1","אחת מארבעה - שלשה גודלין דכל אחד הוי אחת מארבע בטפח. ל""א משולשת כמה יהא בה מגדיל לבד מענף שאינו גדיל:"
31,Bekhorot,40b,"4,3","ואם מחמת העצם - שהשפתים פתוחות יפה אבל הלחיים אדוקות זו בזו שאינו יכול לפותחן דכי אכיל או פעי מרחיב השפתים ונראה העצם כנוד ה""ז מום. וכן ברגלים שרגליו קצרות מחמת הרוח של מדה אחת העצם והבשר של כפות הרגלים שלא היו רחבין כל כך אינו מום ואם מחמת העצם שהעצם קצר והבשר מרחיב מלמטה ויוצא לחוץ הרי זה מום. והמורה גריס מחמת הרוח ופירושה כדפרישנא אבל לתקן הלשון אין יכולת ואיכא דגרסי מחמת הריוח כדפרישנא. ל""א פיו בלום נפוח אם מחמת הרוח שנפח מחמת דיצא אינו מום דהדר בריא ואם מחמת העצם שעבה ביותר הרי זה מום ובתוספתא דבכורות (פ""ד ה""ד) מצאנו מחמת הרוח אינו מום מחמת עצמו ה""ז מום:"
32,Bekhorot,41a,"0,1","כנגדו בגמל ניכר - שהגמל יש לו כנגד הארכובה עצם בולט לחוץ לשון מורי בשחיטת חולין. ל""א שמעתי כגון שזנב גמל מגעת עד אותו ערקום:"
33,Bekhorot,50a,"1,3","דאינון עשרין ותמניא ופלגי ופלגא דנקא - בדינרא ערביא. דדינר צורי עושין השבעה עשר בדינר ערבי והי""ד עושין כ' פשו להו שש צורים דעבדי ח' דינרים ערביים ופלגא [ופלגא] דנקא דהוא פונדיון דדינר הוו י""ב פונדיונין אלא שפונדיוני צורי גדולים ושל ערביים קטנים וכיון דשבעה צורים עושין עשרה ערביים מטי לכל דינר צורי דינר ערבי וחמש פונדיונין ערביים ושביעית פונדיון דצא וחשוב לשבעה דינרים חמש פונדיונין ושביעית פונדיון לכל דינר הוו להו ל""ו פונדיונין טופייאנא דאינון ג' דינרים ואישתכח דשבעה הוו עשרה הלכך ז' דינר צורים הוו עשרה והי""ד הוו עשרים ופשו ששה דינר צורים הוסף לכל דינר חמשה פונדיונין ושביעית הוו להו ל""א פונדיונין טופייאנא בציר פורתא וההוא פורתא לא חשיב בין פונדיונין ועשה אותן דינר הוו ל""א פונדיונין שני דינר ופלגא דדינר ופונדיון אישתכח דששה דינר צורים עושין תמניא ופלגא ופלגא דנקא של ערביים. ולשון זה שפירשתי כתוב בספרים ולא פירש לנו כי לא פירש מפי הרב הגדול כל הך מילתא דהוו להו עשרין מתקלי במתקלא דינר דאינון כ""ח ופלגא ופלגא דנקא אבל מצאתיה בתשובת הגאונים:"
34,Bekhorot,51b,"5,3",מידעם ביש עבדת - דבר רע עשית הלכך אין בנך פדוי אם אחזירם. לשון אחר אפילו לא אחזירם אין בנך פדוי:
35,Bekhorot,54b,"9,0","מתני' מצטרף כמלא רגל בהמה רועה - כפי שיעור שהבהמה מתרחקת והולכת כשהיא רועה דהיינו ט""ז מילין. ל""א כפי מה שהבהמות רחוקות זו מזו ויכולות להשתמר ברועה אחד והיינו ט""ז מילין כדמפרש בגמרא דהכי שלטא עינא דרועה ואם יש לו חמשה בהמות בכפר זה וחמשה בהמות בכפר אחר רחוק מזה ט""ז מילין מביאן לתוך דיר אחד ומעשרן ואם רחוקות יותר פטורות ובגמרא מפרש טעמא:"
36,Bekhorot,55b,"5,0","מקוה ביומי ניסן - מקוה מים חיים נובעים בבית ולא היה מניחן לטבול בנהרות שבימות הגשמים ירדו גשמים הרבה וחייש שמא ירבו מים שנוטפין מעבים לתוך הנהר שהם זוחלים דלא חזו להן משום דהוו להו ספק זבות ובזב כתיב מים חיים. ל""א על הזוחלים על אותם שנפלו מן העבים לקרקע ומן הקרקע זחלו וקילחו לתוך הנהר דאי לא נוטפים משום זוחלים לא מיפסלי דאמרינן בפ' ראשון דתמורה (דף יב.) השאובה מיטהרת בהמשכה דהיינו שממשיך מים שאובים לתוך המקוה על ידי צנורות:"
37,Bekhorot,55b,"7,2",אלא פרת ביומי תשרי - שפרת היו מימיו פרין ורבין וזוחלין הנובעים ממעיינות מרובין ועוד שתשרי סוף ימי הקיץ ולא ירדו גשמים (הרי) זמן מרובה אלמא נהרות מתרבין ממימי גשמים ולעיל אמר מכיפיה מיבריך. לישנא אחרינא הא דאבוה דשמואל הוה עביד לברתיה מקוואות ביומי ניסן מפני שהוא סוף החורף שירדו גשמים מרובים אבל באמצע החורף לא הוה עביד ופליגא אדשמואל דהוא אומר דכל שעה בעינן מקוואות אלא פרת ביומי תשרי:
38,Chullin,7a,"1,2",מזחיחין - לומר גאותך גרמה לך שלא הטית אוזן לשמוע דבר כהלכתו מפי רבך. לישנא אחרינא מגביהין ומסלקין אותו מדבריו:
39,Chullin,13b,"8,0",איכא דאמרי וכו' - הכי משמע מתניתין אין טומאה בשחיטת עובד כוכבים אלא כשאר נבילות דמטמאין במשא אבל אין אהל בשום שחיטת עובד כוכבים ואפילו שחט לעבודת כוכבים. לישנא אחרינא הכי משמע שחיטת עובד כוכבים נבלה וטומאתה כשאר נבילות והא דקתני ומטמאה במשא אתקרובת עבודת כוכבים קאי והכי קאמר ועוד יש שחיטה אחרת שהיא כזו כלומר אינה חמורה מזו שאינה מטמאה אלא במשא כזו:
40,Chullin,16a,"4,1","אמר ליה וי""ו דכתיב אאופתא קאמר - כלומר טעם שאינו נכון קאמר כמו שכותב וי""ו על הבקעת וכולה מנותחת לפרקים מפני שיני הבקעת שהן עשויין חריצין חריצין ואינה חלקה. לשון אחר אותן חריצין קרי וי""ו. רבי חייא לטעמיה דמכשיר לעיל שחיטה במחובר: "
41,Chullin,16a,"4,3","קרא זריזותיה דאברהם קמ""ל - שחש ונזהר שמא לא ימצא צור אפילו מחובר והביא עמו מאכלת: ל""א רב לא שמע דבריו של רבי אלא מקרא שמע יוצא מפיו ולא ידע על מה ואמר ליה רב לרבי חייא מאי קאמר רבי אמר ליה טעם הביא לשחיטה שנפסלה במחובר ומן המקרא אבל אינו עיקר אמר ליה והא קרא קאמר כו':"
42,Chullin,17b,"7,0","בשימשא - נותנים אותה בשמש ורואין בחודה. מ""ר. לישנא אחרינא הולך ומעמידה בשמש חודה למעלה ומסתכל בצילה של סכין ואם יש פגם בסכין ניכר הוא בצל שהחמה נכנסה בפגם:"
43,Chullin,17b,"7,1","במיא - הופך חודה למטה ומוליכה על פני המים ונוגעה מעט ואם יש פגם עוקץ עושה כמין חריץ במים בהליכתה. ל""א הופך חודה למעלה ואוחזה בידו בשיפוע ראשה למטה ומטיף על חודה באצבעו אם יש שם פגם נופלים שם ואין יכולים לילך עד ראשה. לשון מורי:"
44,Chullin,18b,"2,1","הכי קאמרי הלכה כו' - והאי דקאמרי לא אמר הכי משמע לא אמר ולא כלום שאין הלכה כמותו אלא בטבעת גדולה. וללישנא אחרינא דפרישנא לעיל דהיוצא מטבעת שהתחיל לשחוט בה חשיב הגרמה עד שיחתוך כולה לרבנן או רובא לר' יוסי מפרש לרב ושמואל הכי אבל בשאר טבעות לא אמר ר' יוסי שאם חתך רובו בתוך הטבעת והגרים ויצא מודה דפסול דרוב הטבעת לא הוי רוב הקנה דהא אין מקיפין את כולה וליכא למימר הכי דא""כ מאי קמותיב לה הא ודאי שפיר קאמרי וברייתא דקמותיב מינה לא קתני הגרים וכ""ת הגרים לא איצטריך ליה למיתני דאם לא הגרים מאי קא משמע לן ובהגרים היכי מצי לאכשורי הא ודאי לא שחיט רובא וכי תימא משום דקא משמע לן דיציאה דשאר טבעות לא חשיב הגרמה א""כ מאי קאמר הואיל ומקיפין את רוב הקנה האי טעמא לאו משום רובא ומיעוטא הוא אלא משום דאין כאן תורת הגרמה. לשון שלישי אבל בשאר טבעות לא קאמר שאם שחט בשאר טבעות רוב כל חלל הקנה והגרים מודה שהיא פסולה גזירה רוב הקנה אטו רוב הטבעות שאינו רוב הקנה ולא היא חדא דאם כן בהדיא הוו מפרשי לה ועוד מהך מאי קמותיב לה דהא לא קתני בה הגרמה כלל ואי בשהגרים מוקמת לה אמאי תלי טעמא בהואיל ומקיפין את רוב הקנה הקפה דידהו מאי אהניא הא בתר חתיכת רוב הקנה אזלינן. ולשון ראשון נ""ל ואין כאן מכשול להחליף ההלכה דהא לית הלכתא ככולהו אלא כרבי חנינא בן אנטיגנוס:"
45,Chullin,27a,"3,2",חטהו - הכשירהו לאכילה וטהרהו. לישנא אחרינא חטהו הוציא את דמו ונקהו. ולהאי לישנא גרסינן חטהו לישנא דדכויי הוא וללישנא קמא גרסינן דאכשורי הוא:
46,Chullin,27a,"6,1","דלא לשוייה גיסטרא - שלא יחתוך כל המפרקת לשנים דהכי משמע חטהו הוצא את דמו ותו לא ולאידך לישנא הכשר אכילתו דהיינו הסימנין ותו לא. לישנא אחרינא דלא לשוויה גיסטרא שלא ידרוס אע""ג דהלכות שחיטה הלכה למשה מסיני הם יש מהם שנכתבו כגון דרסה דמפקינן לקמן מושחט אין ושחט אלא לשון ומשך וכי גמירי הלכתא אשארא ודרסה קרי גיסטרא כדתנן במתניתין היה שוחט והתיז את הראש בבת אחת אלמא דרסה לשון התזת ראש בבת אחת קרי לה דהיינו גיסטרא מפני שהמוליך ומביא אינו חותך אלא לפי דעתו וכשהוא רוצה מושך את ידיו אבל הדורס זה החותך כמו שחותכין מקל דק או דלעת או קפלוט שחותך בכח ומתיז להלן:"
47,Chullin,27a,"9,0",דלא לשוייה גיסטרא - ולא ידרוס דהכי משמע חתהו עד שיזוב ותו לא אבל דורס אין בידו למנוע ולמשוך ידו. ובלישנא אחרינא כדפרישית חתהו עד מקום שהוא זב ותו לא. מר יליף מהאי קרא ומר יליף מהאי קרא:
48,Chullin,27b,"12,0",משום דכתיב - ואת כל עוף השמים על ויצר דמשמע דאיצירה נמי קאי. לישנא אחרינא משום דכתיב על כלומר מקרא קמא גופיה משתמע דמן הארץ נבראו דכתיב על הארץ דמשמע דמינה איתבריאו וכתיב נמי בקרא בתרא ויצר מן האדמה זה שמעתי וראשון נראה בעיני:
49,Chullin,28b,"1,1",חכים יוסף ברי בטרפות כרבי יוחנן - דאמרינן בפרק גיד הנשה (לקמן חולין דף צה:) דשדר ליה שמואל תליסר גמלי ספיקי דטריפתא למיבדקיה בגווייהו. לישנא אחרינא כרבי יוחנן בכל מילי:
50,Chullin,39a,"12,0","בשלמא פנים לר""ל לא קשיא - דאיכא למימר מקמי דשמעה להך מתניתין מרבי יוחנן רביה הוה פליג אסברא דרביה ואמר מסתברא דלא ילפינן ולבתר דשמעה להך מתניתין מרבי יוחנן רביה וידע דלאו סברא דרבי יוחנן רביה אלא מתניתא הוא דגמרינן פסול מפיגול איכא למימר דהדר ביה להכי נקט רבי יוחנן משום דרביה הוה ואגמריה משנה וברייתא. ל""א לבתר דשמעה לרבי יוחנן רביה דפליג עליה ואמר מחשבין איכא למימר דהדר ביה:"
51,Chullin,40b,"7,0","דקני ליה לכפרה - שהבעלים מתכפרין בה. ל""א אי הכי דבגמר זביחה הוא עובדה מאי איריא חטאת דמשמע דאיכפל תנא לאשמועינן מידי דלית ליה חלק בו שהבעלים שוחטין אותה והיא כולה לכהנים ליתני זבח דלישתמע אפילו שלמים שהן שלו מחייב שלש חטאות דהא לא פקע שם קדשים מיניה עד גמר זביחה ומדנקט חטאת ש""מ בעובד עבודת כוכבים בתחלת שחיטה קאמר ומשום טעמא דחטאת אינו שלו ולא מצי אסר במעשה זוטא דאילו שלמים הוה אסר במעשה זוטא ומ""מ לרב הונא קשיא דהא מדנקט חטאת ש""מ טעמא דתנא משום דדבר שאינו שלו לא אסר אלא אמר מר זוטרא לעולם בעובד בתחלת זביחה ולא תיקשי לרב הונא דהכא בחטאת העוף קאי ובחצי קנה פגום דבההוא מעשה כל דהו דאיתסרא ביה איחייב משום שחיטת חוץ והיינו דנקט חטאת משום דאיתא בעוף ועולה לא מצי למינקט משום דאפילו בעוף בעיא שני סימנין: "
52,Chullin,41a,"8,2","לתוך עוגה של מים - גומא כמו עוגיות לגפנים דמ""ק (דף ב.) לשון מורי. לישנא אחרינא לתוך העוגל והיא היא:"
