,masechet1,masechet2,loc1,loc2,txt1,txt2
721,Chagigah,Makkot,16b:3-7,5b:17-20,"[""גמ' עד זומם - שלא הוזם אלא הוא לבדו:""]",['אם לא הרגתי עד זומם - שלא הוזם אלא אחד מהם והרגתיו:']
722,Gittin,Menachot,54a:12,26a:1,"['בשוגג הורצה - דהציץ מרצה ומותר בשר באכילה:', 'במזיד לא הורצה - מדרבנן וקנסא הוא לאסור בשר באכילה אבל בעלים נתכפרו והך זריקת מזיד איסורא דרבנן היא דמדאורייתא זורק לכתחילה דהציץ מרצה:']","[""תא שמע דם שנטמא וזרקו כו' - קשיא לרב שילא דקתני אם זרקו במזיד לא הורצה:""]"
723,Gittin,Gittin,25a:4,48a:14,['לקוחות הן - דאין ברירה דאיכא למיחש חלק שנטל זה היה ראוי לאחיו והחליפו והיינו לקיחה וחוזר ביובל לתחילתו משום מצות יובל והדר שקליה כדמעיקרא:'],"['לקוחות הן - דאין ברירה והוי כמו שהחליפו חלקיהן:', 'ומחזירין ביובל - משום מצות יובל וכיון דאמר ירושה המתחלקת הויא לקיחה אם אית ליה קנין פירות דהיינו כל לקיחה שבשעת יובל לאו כקנין הגוף דמי ואין מביא וקורא:']"
724,Eruvin,Shabbat,77a:4,8b:14,"['מקום שאין בו ד\' - רוחב ועומד בין רה""י לרה""ר ויש לנו היכר כגון גבוה מן הארץ ג\' ואילו היה רוחב ד\' היה נקרא רשות לעצמו והויא כרמלית ואסור לכאן ולכאן אבל עכשיו נקרא מקום פטור ומותר לכאן ולכאן לכתף עליו משאוי שלהן:', 'ובלבד שלא יחליפו - דרבנן היא דאילו חיובא ליכא דבעינן עקירה מרשות זו והנחה לרשות זו והכא עקירה מרה""י גמורה והנחה למקום פטור ועקירה ממקום פטור והנחה לרה""ר גמורה:']",['ובלבד שלא יחליפו - והכי נמי קתני לעיל ובלבד שלא יטול מן העני ויתן לבעל הבית:']
725,Chullin,Pesachim,33a:12,16a:17-16b:1,['דם הנשפך כמים - הוי כמים:'],['שנשפך כמים - דם חולין שאין חשין לקבלו בכלי מכשיר דאיתקש למים אבל דם קדשים מתקבל בכלי וצריך ממנו למזבח ואינו נשפך לאיבוד כמים אינו מכשיר דלא איתקש למים:']
726,Bekhorot,Bekhorot,36b:14-15,53b:1-3,"[""גמ' מי ידע הי נפיק - בפתח עשירי שיטיל בו מום מעיקרא:""]","['ומשני אפשר - בתקנתא אחריתי כדרב יהודה והא עדיפא מהך כדאמרן בפירקא קמא (לעיל בכורות דף ג:) דמש""ה כלאי חיותיה דרב מרי דהוה מקני לאודנייהו לעובד כוכבים משום דמפקע להו אפי\' מקדושת כהן:\n', 'ה""נ - גבי מעשר אפשר בתקנתא דלא צריך לשהויי דלישדי ביה מומא מעיקרא: ']"
727,Pesachim,Zevachim,83a:9,108a:6,['היתה לו שעת הכושר - כגון נותר יש בו שבירת העצם:'],['שעת הכושר - ליקרב בפנים:']
728,Bekhorot,Kiddushin,29a:5,58b:8,"['לקדש - לערב אפר חטאת במים חיים אל כלי:', 'אפר מקלה - כשאר אפר בעלמא. כל אפר קרוי אפר מקלה:']","['להזות ולקדש - משנה היא בבכורות הנוטל שכרו לדון דיניו בטלים להזות ולקדש מימיו מי מערה ואפרו אפר מקלה:', 'להזות - על הטמא ולקדש מי חטאת כשנותן האפר במים קרי קדושה:', 'מי מערה - סרוחים הם:', 'אפר מקלה - כלומר סתם אפר שבא מן הקלוי באש:']"
729,Eruvin,Yevamot,47a:17-18,42b:4-5,['והתניא - בניחותא:'],"['ה""ג אין והתניא - בניחותא:']"
730,Temurah,Yevamot,11a:9,83b:16-84a:2,"['לא קדושין בתמורה - שאם הן חולין והמירן בבהמת קדשים אינם נתפסין ואפילו תמורה שחלה על בעלי מומין קבועין אינה חלה עליהן וכל שכן אם הקדישם ממש אינן קדושין:', 'ואין מקדישין - אחר לעשותו תמורה אם הן קדושין והמיר בהמת חולין בהן. ורבי מאיר מפרש היכי משכחת לה דליהוי קדושין מאחר שהן אינן קדושין בשום קדושת הגוף מהיכן יהו הן מקדישין ועושין תמורה והא עץ בעלמא נינהו:']","['כלאים - פסול להקרבה דכתיב (ויקרא כ״ב:כ״ז) שור או כשב פרט לכלאים כי יולד פרט ליוצא דופן. והני חמשה יליף ר\' אליעזר מקראי בתמורה בפ\' יש בקרבנות דלא חייל קדושה עליהן ואע""ג דשאר פסולי הקרבה כגון רובע ונרבע מוקצה ונעבד ואתנן ומחיר חיילא עלייהו קדושת הגוף וצריכין מום קבוע ליפדות עליו ולאחר פדיון אסורין בגיזה ועבודה הני לא חיילי עלייהו אלא קדושת דמים כדיקלא בעלמא ונפדין בלא מום ומותרין בגיזה ועבודה לאחר פדיונן:', 'לא קדושין בתמורה - לא מיבעיא תחלת הקדש דלא קדשי דאפי\' בעל מום שקדם מומו להקדשו לא נחתא ליה קדושת הגוף כדאמר בבכורות בפ""ב (דף יד.) אלא אפילו אם המיר קודש בהן הני לא מקדשי דאילו בעל מום חיילא עליה קדושת הגוף ליאסר בגיזה ועבודה אף משיפדה דכתיב (ויקרא כ״ז:ל״ג) טוב ברע אם המר ימירנו אפילו הכי אהני לא חיילא. ואין מקדש לעשות תמורה אם הם קדושים והמיר חולין בהם אינן עושין תמורה. והתם מותבינן במסכת תמורה וכי מאחר שאין קדושין היאך מקדישין אי אתה מוצא אלא במקדיש בהמה ואח""כ נטרפה במקדיש ולד ויצא דרך דופן אבל כלאים וטומטום ואנדרוגינוס שנפסלו משעת יצירתם אי אתה מוצא שיקדיש אלא בולדות קדשים שהיתה אמן קדושה ומה תקנתם ירעו ויסתאבו ויפדם ויאכלם והטרפה תקבר:']"
731,Menachot,Pesachim,97a:8,69b:9,['אפשר - דלא דחי עלייהו שבת:'],"['כלל א""ר עקיבא כל מלאכה שאפשר לעשותה מערב שבת - כגון הבאתו מחוץ לתחום וחתיכת יבלתו:']"
732,Gittin,Ketubot,37b:7,89a:2,['הרי אלו לא יפרעו - בכתובות בפרק הכותב אלמא לא מהימן לומר היה לי ואבד דעל כרחיך בדטעין היה לי ואבד עסקינן דאי לאו הכי צריכא למימר דשביעית משמטת:'],"['וכן ב""ח שהוציא שטר חוב - אחר שביעית ואין עמו פרוזבול זה אומר השמיטתו שביעית וזה אומר פרוזבול היה לי שלא תשמיטנו שביעית ואבד:', ""הרי אלו לא יפרעו - חיישי' שמא כבר גבתה בגט וזה השמיטתו שביעית:""]"
733,Beitzah,Shabbat,40a:17-40b:1,45a:9-45b:1,"['פצעילי תמרה - תמרים שאין מתבשלות באילן לעולם וגודרין אותן מהאילן ועושין להן חותלות הן כלי כפות תמרים וכונסין אותן לתוכן ומתבשלות:', 'מהו - לאכול מהן ביום טוב:', 'אלא בגרוגרות וצמוקין - שהן מתחלה ראויין לאכילה והוא דחה אותן בידים להעלותן ליבשן ושוב אינן ראויין עד שייבשו אבל אלו לא דחה אותן בידים ואיכא דאכיל מנייהו הכי קא סלקא דעתיה מדפריש ליה מילתיה דר""ש אלמא כר""ש ס""ל:']","['פצעילי תמרה - תמרים הנלקטים קודם בישולן וכונסין אותם בסלים שעושין מלולבין והן מתבשלות מאליהן מהו לאכול מהן קודם בישולן מי מודה בהן דמוקצות הן כגרוגרות וצימוקין או לא:', 'אלא בגרוגרות וצימוקין - דאיכא תרתי דדחינהו בידים ולא חזו:']"
734,Gittin,Sanhedrin,88a:20-88b:1,38a:4-7,['גלות צדקיהו - חרבות ירושלים שגלו כולם:'],['פותחין - בתורה:']
735,Chullin,Sotah,7b:5,38b:12,"['אל תלחם - אל תסעוד. לחם לשון סעודה כדכתיב (שמואל א כ) לא בא אל הלחם וכתיב (דניאל ה) בלשאצר מלכא עבד לחם רב:', 'כמו שער - כאילו אתה פותח שער בבטנו. וי""א לשון מרירות כמו (ירמיהו כט) כתאנים השוערים:']",['כי כמו שער בנפשו - שער זה על כרחנו לשון פעל הוא ונקודתו מוכחת עליו שחציו קמץ וחציו פתח וטעמו למטה כאילו זה האוכל מירר והשעיר בנפשו של צר עין וכך הוא לשון כתאנים השוערים (ירמיהו כ״ט:י״ז) ומנחם בן סרוק פירשו לשון שיעור תמיד הוא משער כמה יאכל זה ועד מתי:']
736,Pesachim,Pesachim,16b:5,80b:7,"['על הדם ועל הבשר ועל החלב - בין שנטמא הדם בין שנטמא הבשר בין שנטמא החלב הציץ מרצה ולא שיהא בשר טמא נאכל דאין ציץ מטהר ודוחה לא תעשה דוהבשר אשר יגע בכל טמא לא יאכל אלא לר\' יהושע איצטריך דאמר בכיצד צולין (לקמן פסחים עז.) אם אין בשר אין דם וקאמר הכא ה""מ כשיצא בשר חוץ למחיצתו שאין ציץ מרצה על היוצא או שאבד הבשר אבל נטמא בשר קודם זריקת דם הציץ מרצה עליו להתיר דם לזריקה:', 'בין בשוגג בין במזיד - והאי דתני לעיל בשוגג הורצה במזיד לא הורצה בכיצד צולין פליגי בה אמוראי חד אמר טומאתו בין בשוגג בין במזיד אבל זריקתו בשוגג אין במזיד לא וחד אמר איפכא:', 'בין ביחיד - בקרבן יחיד מזיד ורצון אחד הוא אבל גבי שוגג שייך מזיד וגבי אונס שייך רצון ושוגג ואונס תרי מילי נינהו וקתני מיהת על הדם אלמא דם קדשים מקבל טומאה וש""מ טומאת משקין דאורייתא ולא רצו רבנן לטהר משקי בית מטבחיא וקשיא לרב:']","['גמ\' בין בשוגג בין במזיד - קס""ד דהכי קאמר שזרקו בין בשוגג בין במזיד ומשני דהאי שוגג ומזיד אטומאה קאי אבל זריקה בעינן שוגג:']"
737,Eruvin,Eruvin,61b:5,75a:10,"['מני - הא דלא תני הניח:', 'אי נימא ר""ע - דלית ליה בהניח מהלך את כולה אמאי תני עיר דומיא דמערה למימר דבחריבה קאי:', 'אפי\' ישיבה נמי - הניח לר""ע לא והא ליכא למימר דהא דנקט חריבה משום שבת נקט למימר אע""ג דהיא חריבה היכא דשבת מהלך את כולה הא מאי איריא עיר אפילו תל ונקע וקמה קצורה ושיבולין מקיפות אותה אמרן בפרקין קמא (דף טו.) מהלך את כולה:', 'אלא לאו רבנן - ושמע מינה בחריבה מודו דהא על כרחך הא דנקט חריבה משום שיורא דשייר ולא תנא הניח נקט לה:']","['תנן חיצונה ולא פנימית שתיהן אסורות - הא עירבה נמי פנימית תרוייהו שריין אלמא רגל המותרת לא אסרה:', 'אפילו רגל המותרת נמי - דקתני סיפא גבי עירבו שתיהן כל אחת לעצמה ר""ע אוסר את החיצונה ומשום לאשמועינן היא גופה לא איצטריך דמסיפא נפקא לן דהשתא מותרת אסרה אסורה מיבעיא:']"
738,Eruvin,Zevachim,13a:21-13b:1,3a:1,"['ונמלך - וחזר בו מלגרש אותה:', 'פסול - אלמא וכתב לה משמע לשמה הכי נמי כתיב ועשה לה משמע לשמה:']",['ונמלך - שלא יגרשנה:']
739,Rosh Hashanah,Sanhedrin,8a:17-8b:1,11b:9,['שהחדש מתכסה בו - לרחוקים כגון שחרית לבני מערב וערבית לבני מזרח לפי שקטנה היא סמוך לחידושה:'],"['שהחדש מתכסה בו - שהלבנה אינה נראית בעליל לכל העולם דכתיב חדש בכסה:', 'הוי אומר זה ראש השנה - שחגה בראש חדש הוא אבל שאר חגים באמצע החדש הם וכתיב כי חק כלומר חק שישראל עושין באותו חג דהיינו קידוש החדש הרי הוא כמשפט ומשפט ביום דכתיב ביום הנחילו את בניו כדדרשינן באחד דיני ממונות (לקמן סנהדרין דף לד:):']"
740,Chullin,Sukkah,87a:12,33a:6,"['פטור מלכסות - דהא מכוסה ועומד הוא:', 'הא אידחי ליה - מכסוי דהא כיסהו ונתגלה פטור מלכסות:']","['כסהו - אדם לדם חיה או עוף:', 'לא שנו - דכסהו הרוח חייב לכסות אלא שחזר ונתגלה:']"
741,Niddah,Sukkah,32a:14,28a:11-12,['הי קרא והי הלכתא - כלומר מכדי קרא חדא מינייהו משתמע הי מינייהו משתמע מקרא בלא הלכתא והי מינייהו אצטריך הלכתא:'],"[""אמר רבה הלכתא נינהו ואסמכינהו רבנן אקראי - הנך תרי מילי ליכא למידרשינהו לתרוייהו מקראי דאם זו ה' לרבות אף זו ה' לרבות ואם זו למעט אף זו למעט אלא על פי הלכה שנאמרה למשה מסיני באחד מהן לחילוף נאמרו שני דברים הללו זו לחיוב וזו לפטור וחדא מינייהו לאו ממשמעותא אלא רבנן אסמכינהו אקראי חדא ממשמעותא וחדא אסמכתא בעלמא דאלו קרא חילופא משמע ולמילתא אחריתי אתא:"", 'ה""ג הי קרא והי הלכתא ותו למה לי קרא למה לי הלכתא - הי קרא הי מינייהו ממשמעותא והי לאו ממשמעותא דקרא דאלו קרא חילופא משמע אלא מהלכתא הוא דאתמר ותו למה לי קרא למה לי הלכתא לא בסוכה לפטור ולא בעינוי לחיוב:']"
742,Eruvin,Shabbat,20a:16,6b:3,"['מפסקתן - שאין שם דרך אלא בין הפסין:', 'יסלקנה לצדדין - דאתי דריסת רבים ומבטלי מחיצות:']","['מפסקתן - לפסי ביראות בפרק ב\' דעירובין דהקילו חכמים משום עולי רגלים בבור בר""ה והבור עצמה רה""י שהיא עמוקה י\' ורחבה ד\' והממלא מתוכה ומניח על שפתה חייב והקילו חכמים לעשות ד\' פסין וביניהן י\' אמות דהוי חללו רה""י למלאות מן הבור וקאמר ר\' יהודה אם היתה דרך רה""ר מפסקתן יסלקנה מביניהן דאתו רבים ומבטלי מחיצתה והתם רמינן דרבי יהודה אדרבי יהודה דלעיל דאמר נושא ונותן באמצע דלא אתו רבים ומבטלין מחיצות ורבנן אדרבנן ומשנינן לה:', 'אינו צריך - והיינו דקתני זו היא רה""ר אבל הילוך דרבים לבין הפסים לא הוי רה""ר הואיל ואיכא שם ד\' מחיצות:']"
743,Eruvin,Sukkah,15b:17,15a:13,"['ארוכות - אשפונד""ש:', 'אם יש ריוח ביניהן כמותן - לסכך שם בסכך כשר אלמא פרוץ כעומד מותר דהא הכא פסול ככשר הוא ושרי וקשיא נמי הא לרב הונא:']","[""מתני' המקרה סוכתו - כמו שאנו עושין שמסדרין כלונסות תחלה בסכך ונותנין פסל עליהן:"", 'ארוכות - אשפונדי""ש בלע""ז ובגמרא מפרש דמקבלי טומאה:', 'אם יש ריוח ביניהן כמותן - בין שפוד לשפוד על פני כולה ויתן שם הפסל וכן על פני כולה ובגמרא פריך הא אין הכשר מרובה על הפסול:']"
744,Yevamot,Yevamot,13a:6,30a:3,['וכנסה המגרש ומת - ונפלה נכרית לפני שלישי שנשוי אחות אשתו של זו הראשונה דהויא להו צרת אחות אשה משנתגרשה צרותיהן מותרות הואיל ולא היתה אחות אשתו של זה צרה לנכרית זו שקודם נשואים של זו נתגרשה:'],"[""מתני' הראשונה - לנישואין:""]"
745,Eruvin,Eruvin,47a:9,51b:13,"[""ומתני ליה רב חייא בר אשי - למתני' לחייא בר רב קמיה דרב:"", 'אחד עני ואחד עשיר - מילתיה דרבי יהודה:']",['הלכה כרבי יהודה - וכרב נחמן במקומי:']
746,Sukkah,Sukkah,11a:6,21b:3,"[""כר' יהודה - לקמן מפרש בפרק הישן:"", 'נוהגים היינו ישנים תחת המטה - דמטה לגבי סוכה אהל עראי הוא שמסלקין אותה ממקום למקום:']",['נוהגין היינו - אלמא אהל עראי לאו אהל הוא:']
747,Kiddushin,Menachot,63b:2,55a:9,['ולא מוקמינן בתרי תנאי - לאוקמי באומר על מנת שירצה אבא כדקתני ומי ששנה זו לא שנה זו ובמשמעות לשון קמיפלגי תנא דרישא סבר לשון שתיקה הוא וכיון ששתק חלו קידושין מיד ותנא דסיפא סבר לשון לא ימחה הוא ואינם קידושין עד שימות:'],"['בתרי טעמי - כגון הכא כדאמרינן רישא דליכא כהן וסיפא דאיכא כהן:', ""ולא מוקמי בתרי תנאי - דלא אמרי' רישא וסיפא דליכא כהן ודקפרכת והתנן תורם מן המתקיים תנאי היא דהא תרי תנאי פליגי בהכי:""]"
748,Yevamot,Yevamot,23b:3,41b:12,"[""שנים שקדשו ב' אחיות - והם נכרים:""]","[""שקידש אחת משתי אחיות ואין יודע איזה מהן קידש - ומת שתיהן חולצות ולא מתייבמות דלא מצי לייבומי דלמא פגע באחות זקוקה. והא הכא דאינה עולה לייבום ועולה לחליצה ולא אמרי' תמתין עד שיבואו עדים ויבררו את יבמתו:""]"
749,Avodah Zarah,Yoma,44a:4,58b:3,['לגננים - לזבל גנותיהן:'],"[""אלו ואלו - דמים החיצוני' והפנימיים הנשפכים על יסוד מזבח העולה היו שותתין ונופלים מן היסוד על הרצפה:"", 'ומתערבין באמה - סילון שבעזרה היוצא לנחל קדרון:', 'לגננין - בעלי גנות:', 'ומועלין בהן - יש בהן איסור ליהנות בלא דמים:']"
750,Bava Metzia,Ketubot,97b:6,12b:6,['פטור - אוקי ממונא בחזקת מריה ולא תפקיע מספיקא:'],['פטור - מלשלם ומכל מקום משבעינן ליה שבועת היסת שכן הוא כדבריו שאינו יודע שהוא חייב לו:']
751,Kiddushin,Yevamot,44b:11,2b:2-3,"['וכולן - ט""ו עריות ששנינו ביבמות שפוטרות צרותיהן וצרות צרותיהן מן החליצה ומן היבום ויליף לה מקרא שהערוה הנופלת ליבום לפני קרוב שהיא עליו בכרת פטורה ופוטרת צרתה וכולן העריות אם מתו קודם שמת הבעל או מיאנו בבעל או נתגרשו (קודם מיאון) דכשמתה ונפלה הצרה לפני היבם לא צרת ערוה היתה ולא פטרה ערוה צרותיה ומותרות ליבם וקתני בתו באותן ט""ו וקאמר דאם מיאנה בחיי אחי אביה שהוא בעלה ומת לאחר מיאון צרתה מתייבמת לאביה אלמא יש לנו בתו ממאנת בחיי אביה והיכי דמי:']","['וכולן שמתו - שמתה בתו קודם לאחיו או מיאנה והיכי משכחת לה מיאון בבתו והרי הוא קיים ואין מיאון אלא ביתומה משכחת לה כגון שאביה השיאה לה לאחד ונתגרשה כשהיא קטנה ושוב אין לאביה רשות בה והלכה ונשאת לאחיו בעודה קטנה ויצאה במיאון ובפ\' ב""ש (לקמן יבמות קט.) קרי לה יתומה בחיי האב. ואם נתגרשה מאחיו או מיאנה באחיו או נמצאת אילונית שמקחו מקח טעות ולא הויא אשת אחיו וכשמת אחיו הרי היא כמו שאינו אשתו ומתייבמת צרתה:']"
752,Avodah Zarah,Eruvin,4b:14,22a:5,['ולא למחר לעשותם - דאין מצות לעתיד:'],"['ולא למחר לעשותם - שלאחר מיתה לעתיד לבוא אם בא לקיים מצות אינו מועיל דמי שטרח בערב שבת. יאכל בשבת כדאמר במס\' ע""ג:']"
753,Bava Batra,Eruvin,3b:6,13b:15,"['הקורה שאמרו - לענין הכשר מבוי:', ""ג' טפחים - אלמא ג' טפחים דקתני לגבי מתני' גבי לבינין כדקתני זה נותן טפח ומחצה וזה נותן טפח ומחצה הן בלא סידן קאמר דהא לבינה לחודה שלשה טפחים:""]","[""מתני' רחבה כדי לקבל אריח - שתהא דומה לקביעות לבנות עליה בנין:"", ""ואריח חצי לבנה של ג' טפחים - נמצא אריח טפח ומחצה רוחב:"", 'דייה לקורה ברוחב טפח כדי לקבל אריח זה ברחבו - ובגמרא פריך טפח ומחצה בעי:']"
754,Arakhin,Chullin,20b:2,139a:17,"[""מתני' ובית זה קרבן - לבדק הבית:"", 'ונפל הבית - קודם שהחזיק בו גזבר:']","[""ובית זה קרבן - לבדק הבית שאף הן נקראים קרבן כענין שנאמר (במדבר לא) ונקרב את קרבן ה' איש אשר מצא כלי זהב וקדושת דמים הם:"", 'שור זה עלי עולה - אע""ג דאמר זה כיון דקאמר עלי עלי להביאו קאמר וכן בבית לבדק הבית למוכרו להביא דמיו ליד גזבר:']"
755,Bava Metzia,Yevamot,32a:5,6a:4,['או שאמר לו אל תחזיר - והוא במקום שהוא מותר לילך שם:'],"['אמר לו אביו - לכהן:', 'היטמא - בבית הקברות להשיב אבידה או שהיתה עומדת בחוץ ואמר לו אל תחזיר יכול ישמע לו ת""ל איש אמו ואביו וילפינן לאו דטומאה ולאו דהשבת אבדה מלאוי דשבת:']"
756,Chullin,Sotah,82a:2,47a:16,['ותרעה בעדר - כשאר חולין. אלמא אינה נאסרת מחיים וכי שחטה מותרת:'],"[""מתני' תצא ותרעה בעדר - כשאר חולין והאי תנא לית ליה הא דאמרינן בכמה דוכתי עגלה ערופה נאסרה מחיים וירידתה לנחל איתן אוסרתה ובמסכת כריתות מוקמינן לה למילתא בפלוגתא דתנאי בפרק בתרא (דף כה.):""]"
757,Menachot,Zevachim,4a:16-17,12b:11-12,['דכתיב בה - בחטאת נשיא חטאת היא ולא שבא שלא לשמו:'],['לאחר הקטרת אימורין כתיב - וליכא למידרשיה לעיכובא דעצמו שלא הוקטרו אימוריו כשר והאי הוא דרשינן למילתא אחריתי:']
758,Zevachim,Zevachim,18a:8,20a:1,['אי מהתם - מוהיתה להם כהונה הוי מוקמינא ליה ההיא בעבודה המעכבת כפרה אבל נתינת אש של הדיוט דמצוה בעלמא היא שהרי יש שם אש שירדה מן השמים אימא לא תיבעי בגדים קא משמע לן ונתנו בני אהרן הכהן אש להכי כתב הכא חסרון בגדים למילף [דאף בעבודה שאינה מחוסר כפרה] דאי עבד אהרן בבגדי הדיוט לאו שפיר עבד והא ליכא למיפרך לימא האי ולא תיבעי ההוא דהכא לאו בגדים כתיבי ואי לאו דכתב והיתה להם כהונה [אצל וחגרת אותם אבנט] דשמעינן כהונה תלויה בבגדים לא הוה ידעינן הכהן בכיהונו מאי היא:'],"['מהו דתימא ה""מ - דבעינן קידוש שחרית בעבודה דמעכבת כפרה כגון דם וקמיצה אבל כל הקטרת אימורין דלא מעכבא אימא לא תיבעי קידוש:']"
759,Gittin,Sanhedrin,76a:5,67b:4,"[""ואיכא דאמרי לרבנן קאמר להו אין לך תנאי בכתובין שאינו כפול - ויש לנו ללמוד מהן דכולהו צריכי כדמתרצינן להו בקדושין בהאומר לחבירו (ד' סא:):""]",['שני כתובין - הוה ליה למכתב חד או אוב או ידעוני ולשתוק:']
760,Bekhorot,Pesachim,33a:10,67a:3,"['הפסח שבא בטומאה - שנטמאו רוב צבור במת ועשו פסח בטומאה לא יאכלו ממנו זבים וזבות אע""ג דאכלי ליה טמאי מתים. אלמא שני לן בין טומאה היוצאה מגופו לטומאה שאינה יוצאה מגופו:']","['לא יאכלו ממנו - דכי דייקינן איש נדחה ואין ציבור נדחין בטמא נפש הוא דדייקינן גבי איש כי יהיה טמא לא כתיב אלא לנפש ובדידה דייקינן איש ולא ציבור אלמא מהתם יליף דאי מוישלחו כדר""ל זב נמי לישתרי:']"
761,Sotah,Yoma,42b:14,75a:2,['דאגה בלב איש ישחנה - יסחנה מדעתו. ישיחנה לאחרים:'],"['דאגה - פחד שדואג על הפסד שום דבר פן יבואהו:', 'ישיחנה לאחרים - שמא ישיאוהו עצה:']"
762,Bava Kamma,Bava Metzia,69a:11,38b:5,"['ערב - בגט פשוט:', 'צידן - במי שאחזו קורדיקוס:', 'וראיה - בפרק שני דסנהדרין:\n']","['ערב - בגט פשוט (ב""ב קע""ג:):', 'צידן - במסכת גיטין (דף עד.):', 'ראייה - בדיני ממונות השני (סנהדרין לא.) שנחלקו בשני מחלוקות במביא שטר ראיה לסתור את הדין בראשונה הלכה כמותו ובאחרונה אין הלכה כמותו:']"
763,Chagigah,Menachot,24a:1,24a:3,['דאלו מדאורייתא הצריך לכלי - דומיא דקטורת שבכף דאיירי בה קרא כלי מצרפו ושאינו צריך לכלי כגון שירי מנחה שהן אכילת כהן אין הכלי מצרפן:'],['אין צריך לכלי - כגון האי חצי עשרון שלישי דאין צריך לכלי דהא אינו מצטרף עם אלו למנחה אחת אין הכלי מצרפו וטהורים הראשונים:']
764,Arakhin,Gittin,29b:5,44b:16,"['מכורה ויוצאה - ביובל וזה הלוקח איבד מעותיו:', 'אינה מכורה כל עיקר - והמעות חוזרין:', 'מכורה כבר - קודם היובל:']","['ויוצאה - לבעלים מיד וזה הפסיד מעותיו:', 'אינה מכורה כל עיקר - מקל וחומר ומה מכורה כבר יוצאה עכשיו שאינה מכורה אינו דין שלא תמכר וקאמר רב ענן בשני דברים הללו שמעתי ממנו מה תהא על המעות:']"
765,Avodah Zarah,Bekhorot,74a:2-3,9b:21,"[""וציפורי מצורע וחולין שנשחטו בעזרה - איסורי הנאה הן ובמס' קדושין (דף נז.) מפרש להו:"", 'ופטר חמור - דאסור בהנאה כל זמן שלא נפדה:', '[ובשר בחלב] - חתיכת בשר שנתבשלה בחלב ונאסרה בנותן טעם וחזרה ונתערבה באלף חתיכות אוסרת כולן בהנאה והאי תנא סבר בשר בחלב איסור הנאה דפלוגתא היא בכל הבשר בשחיטת חולין (דף קטז.) ויש שלמידים ממשנתנו דבשר בחלב במשהו וסבורין דהאי בכל שהו דקתני כגון טיפת חלב שנפלה לקדירה או חתיכת בשר קטנה שנפלה לקדירה ואפילו אין בה נ""ט וטעות הוא בידם דהא מפרשינן בגמרא דתנא דבר שבמנין קתני כגון חתיכה בחתיכות משום דדרכן לימנות חשיב ולא בטיל ואי בבשר שנתערב טעמו בחלב קמיירי או בטיפת חלב שנפל לקדירת [בשר] מי הוי דבר שבמנין ועוד הא אוקימנא כל איסורין שבתורה שלא במינו בנ""ט ואפי\' לרב ושמואל דאמרי במשהו בשלא במינו מודו ובכולה שחיטת חולין אמרינן בשר בחלב בנ""ט:']","['עגלה ערופה - אסורה בהנאה משום דכתיב (דברים כא) שם שם תהא קבורתה:', 'ושור הנסקל - ששחטו לאחר שנגמר דינו דלא ירדה בו טומאת נבילות. ועגלה ערופה ששחטה לאחר ירידתה לנחל איתן דקי""ל דהיא אוסרתה:']"
766,Pesachim,Shabbat,42b:20-43a:3,80b:2,['שהגיעו לפרקן ולא הגיעו לשנים - שיש להן שערות כאילו הגיעו לפרקן והן לא הגיעו לכלל שנים ובושות על כך:'],['שהגיעו לפרקן ולא הגיעו - שהביאו שתי שערות ולא באו לכלל שנים הראויות לכך ומתביישות בדבר:']
767,Bava Batra,Shabbat,11b:12-12a:2,146b:3,"['שלא פרץ פצימיו - כשנסתם פתחו לא סלק מזוזתו ומשקוף ומפתן דגלי דעתיה דלא סילק נפשיה וסופו לפותחו לאחר זמן:', 'בית סתום - שהיה לו פתח לחצר וסתמו:', ""יש לו ד' אמות - בחלוקת החצר אם באו לחלוק כאילו הוא פתוח:"", 'אינו מטמא סביביו - אלא כנגד הפתח אם מת בתוכו:', ""פרץ את פצימיו - הרי הוא כקבר וחכמים טימאו את סביבות הקבר ד' אמות כדי שלא יקרבו עושי טהרות עד הקבר ויאהילו ולאו אדעתייהו:""]","['תניא דמסייע לך - דלא פקע שם פתח מיניה אלא בסתימה מעלייתא:', 'בית סתום - והמת בתוכו אינו מטמא סביביו:']"
768,Sanhedrin,Zevachim,4a:7,36b:16,"[""כל הניתנין - עולה ושלמים ואשם הטעונין שתי מתנות שהן ד' שנתנם במתנה אחת:"", 'כיפר - דכתיב ודם זבחיך ישפך שפיכה אחת במשמע:']","['מתני\' בית שמאי אומרים - מתנה אחת. זריקה אחת כיפר אע""פ שרובן טעונים שתי מתנות שהן ארבע:', 'ובחטאת שתי מתנות - מתנות אצבע ממש ובגמרא יליף טעמא:']"
769,Yevamot,Yevamot,20a:8,84a:12,"['אלמנה לכ""ג - שמת אחיו ההדיוט ונפלה אלמנתו לפניו:', 'גרושה וחלוצה לכהן הדיוט - שעבר אחיו המת ונשא חלוצה וגרושה וכשמת צריכה חליצה שהרי תופסים לו בה קידושין דקידושין תופסים בחייבי לאוין אבל יבומי לא שהרי אסורה לו לזה שהוא כהן ואפטורי בולא כלום לא דלא אלים לאו למיפטרה דילפי\' מאחות אשה בפ""ק (דף ג:):']","['אלמנה לכ""ג כו\' - מפרש בגמרא טעמא:']"
